cpd_id,category,old_formula,new_formula,formula_changed,old_charge,new_charge,charge_changed,old_stereo_defined,new_stereo_defined,old_stereo_potential,new_stereo_potential,old_smiles,new_smiles
cpd03565,added,,C22H22O11,no,,0,no,,5,,5,,COc1cc(-c2cc(=O)c3c(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)cc3o2)ccc1O
cpd03617,stereo_gained,C10H14O3,C10H14O3,no,0,0,no,3,4,4,4,C[C@H]1CC[C@H](C(C=O)=CO)[C@@H]1C=O,C[C@H]1CC[C@H](/C(C=O)=C/O)[C@@H]1C=O
cpd03724,canonicalization,C27H42FeN9O12,C27H42FeN9O12,no,0,0,no,3,3,3,3,CC(=O)N1CCC[C@@H]2NC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]3CCCN(C(C)=O)O[Fe](O1)ON(C(C)=O)CCC[C@H](NC2=O)C(=O)N3,CC(=O)N1CCC[C@@H]2NC(=O)CNC(=O)CNC(=O)CNC(=O)[C@@H]3CCCN(C(C)=O)[O][Fe]([O]1)[O]N(C(C)=O)CCC[C@H](NC2=O)C(=O)N3
cpd03760,canonicalization,C44H48N4O16,C44H48N4O16,no,-8,-8,no,8,8,9,9,C[C@]1(CC(=O)[O-])C(CCC(=O)[O-])=C2C[C@]3(C)N=C(CC4=N[C@H]([C@H](CC(=O)[O-])[C@@]4(C)CCC(=O)[O-])[C@]4(C)N=C(C=C1N2)[C@@H](CCC(=O)[O-])[C@]4(C)CC(=O)[O-])C(CCC(=O)[O-])=C3CC(=O)[O-],C[C@@]1(CC(=O)[O-])C2=CC3=N[C@@](C)([C@@H]4N=C(CC5=N[C@@](C)(CC(=C1CCC(=O)[O-])N2)C(CC(=O)[O-])=C5CCC(=O)[O-])[C@](C)(CCC(=O)[O-])[C@H]4CC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-]
cpd03832,stereo_gained,C45H54N4O14,C45H54N4O14,no,-6,-6,no,10,11,12,12,CC1=C2[NH+]=C(C=C3N/C(=C(/C)C4=N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]4CCC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-],C/C1=C2/N=C(/C=C3\N/C(=C(/C)C4=N[C@@](C)(C5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[C@@](C)(CC(=O)[O-])[C@@H]4CCC(=O)[O-])[C@@](C)(CC(=O)O)[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-]
cpd03913,stereo_gained,C45H58N6O12,C45H58N6O12,no,-4,-4,no,10,11,12,12,CC1=C2[NH+]=C(C=C3N/C(=C(/C)C4=N[C@@](C)([C@@H]5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]4CCC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-],C/C1=C2/N=C(/C=C3\N/C(=C(/C)C4=N[C@@](C)(C5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]4CCC(=O)[O-])[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)O)C(C)(C)[C@@H]2CCC(=O)[O-]
cpd03914,canonicalization,C45H55CoN6O12,C45H55CoN6O12,no,-5,-5,no,8,8,9,9,CC1=C2N3C(=C(CCC(=O)[O-])[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5N6[C@H]([C@H](CC(=O)[O-])[C@@]5(C)CCC(=O)[O-])[C@]5(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]5(C)CC(N)=O)[Co-2]364)[C@@H](CCC(=O)[O-])C2(C)C,CC1=C2[N]3C(=C(CCC(=O)[O-])[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5[N]6[C@H]([C@H](CC(=O)[O-])[C@@]5(C)CCC(=O)[O-])[C@]5(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]5(C)CC(N)=O)[Co-2]364)[C@@H](CCC(=O)[O-])C2(C)C
cpd03915,canonicalization,C45H55CoN6O12,C45H55CoN6O12,no,-6,-6,no,8,8,9,9,CC1=C2N3C(=C(CCC(=O)[O-])[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5N6[C@H]([C@H](CC(=O)[O-])[C@@]5(C)CCC(=O)[O-])[C@]5(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]5(C)CC(N)=O)[Co-3]364)[C@@H](CCC(=O)[O-])C2(C)C,CC1=C2[N]3C(=C(CCC(=O)[O-])[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5[N]6[C@H]([C@H](CC(=O)[O-])[C@@]5(C)CCC(=O)[O-])[C@]5(C)[N+](=C1[C@@H](CCC(=O)[O-])[C@]5(C)CC(N)=O)[Co-3]364)[C@@H](CCC(=O)[O-])C2(C)C
cpd03916,canonicalization,C55H70CoN11O15,C55H70CoN11O15,no,-2,-2,no,15,15,16,16,C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4/[C@@H](CCC(=O)[O-])[C@](C)(CC(N)=O)[C@](C)(C5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])N4[Co+]C[C@H]1O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]1O)[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-],C/C1=C2/[NH+]=C(/C=C3\[NH+]=C(/C(C)=C4/[C@@H](CCC(=O)[O-])[C@](C)(CC(N)=O)[C@](C)(C5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(=O)[O-])[N]4[Co+][CH2][C@H]1O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]1O)[C@@](C)(CC(N)=O)[C@@H]3CCC(=O)[O-])C(C)(C)[C@@H]2CCC(=O)[O-]
cpd03917,stereo_gained,C55H76CoN15O11,C55H76CoN15O11,no,0,0,no,13,15,14,16,CC1=C2N3[C@H]([C@H](CC(N)=O)[C@@]2(C)CCC(=O)[O-])[C@]2(C)[N+]4=C(C(C)=C5[N+]6=C(C=C7[N+](=C1[C@@H](CCC(N)=O)C7(C)C)[Co-2]364C[C@H]1O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]1O)[C@@H](CCC(N)=O)[C@]5(C)CC(N)=O)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,C/C1=C2/N=C(/C=C3\N=C(/C(C)=C4/[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@](C)(C5N=C1[C@](C)(CCC(=O)[O-])[C@H]5CC(N)=O)[N]4[Co+][CH2][C@H]1O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]1O)[C@@](C)(CC(N)=O)[C@@H]3CCC(N)=O)C(C)(C)[C@@H]2CCC(N)=O
