ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
C183COAm	Octadecatrienoyl-CoA	Mitochondrion	Y	cpd14883	alpha-Linolenoyl-CoA
C183_input	Input/Output_of_Octadecatrienoate._Artificial_metabolite	System_input	N	fcpd02023	
C183e	Octadecatrienoate	Extracellular_space	Y	cpd03850	Linolenate
C18DACP	Octadec-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	cpd14940	(2E)-Octadecenoyl-[acp]
C18DCOAm	Octadec-2-enoyl-CoA	Mitochondrion	Y	cpd14937	(2E)-Octadecenoyl-CoA
C18DHSPH	3-dehydrosphinganine(C18)	Cytosol	Y	cpd01879	3-Dehydrosphinganine
C18HACP	3-hydroxyoctadecanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01496	3-hydroxyoctadecanoyl-[acyl-carrier protein]
C18HCOAm	3-hydroxyoctadecanoyl-CoA	Mitochondrion	Y	cpd14936	3-Hydroxystearoyl-CoA
C18OACP	3-oxooctadecanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd14938	3-Oxostearoyl-[acp]
C18OCOAm	3-oxooctadecanoyl-CoA	Mitochondrion	Y	cpd14935	3-Oxostearoyl-CoA
C18PSPH	Phytosphingosine(C18)	Cytosol	Y	cpd08926	Phytosphingosine
C18SPH	Sphinganine(C18)	Cytosol	Y	cpd00623	Sphinganine
C190	Nonadecanoate	Cytosol	Y	cpd16349	Nonadecylic acid
C190ACP	Nonadecanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01497	Nonadecanoyl-[acyl-carrier protein]
C190CAR	Nonadecanoyl-carnitine	Cytosol	Y	fcpd01498	Nonadecanoyl-carnitine
C190CARm	Nonadecanoyl-carnitine	Mitochondrion	Y	fcpd01498	Nonadecanoyl-carnitine
C190COA	Nonadecanoyl-CoA	Cytosol	Y	cpd33510	nonadecanoyl-CoA
C190COAm	Nonadecanoyl-CoA	Mitochondrion	Y	cpd33510	nonadecanoyl-CoA
C190_input	Input/Output_of_Nonadecanoate._Artificial_metabolite	System_input	N	fcpd02024	
C190e	Nonadecanoate	Extracellular_space	Y	cpd16349	Nonadecylic acid
C191	Nonadecenoate	Cytosol	Y	fcpd01499	Nonadecenoate
C191ACP	Nonadecenoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01500	Nonadecenoyl-[acyl-carrier protein]
C191CAR	Nonadecenoyl-carnitine	Cytosol	Y	fcpd01501	Nonadecenoyl-carnitine
C191CARm	Nonadecenoyl-carnitine	Mitochondrion	Y	fcpd01501	Nonadecenoyl-carnitine
C191COA	Nonadecenoyl-CoA	Cytosol	Y	fcpd01502	Nonadecenoyl-CoA
C191COAm	Nonadecenoyl-CoA	Mitochondrion	Y	fcpd01502	Nonadecenoyl-CoA
C191DHSPH	3-dehydrosphinganine(C19:1)	Cytosol	Y	fcpd01274	3-dehydrosphinganine (C19:1)
C191SPH	Sphinganine(C19:1)	Cytosol	Y	fcpd01275	sphinganine (C19:1)
C191_input	Input/Output_of_Nonadecenoate._Artificial_metabolite	System_input	N	fcpd02025	
C191e	Nonadecenoate	Extracellular_space	Y	fcpd01499	Nonadecenoate
C192	Nonadecadienoate	Cytosol	Y	fcpd01504	Nonadecadienoate
C192ACP	Nonadecadienoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01505	Nonadecadienoyl-[acyl-carrier protein]
C192CAR	Nonadecadienoyl-carnitine	Cytosol	Y	fcpd01506	Nonadecadienoyl-carnitine
C192CARm	Nonadecadienoyl-carnitine	Mitochondrion	Y	fcpd01506	Nonadecadienoyl-carnitine
C192COA	Nonadecadienoyl-CoA	Cytosol	Y	fcpd01507	Nonadecadienoyl-CoA
C192COAm	Nonadecadienoyl-CoA	Mitochondrion	Y	fcpd01507	Nonadecadienoyl-CoA
C192_input	Input/Output_of_Nonadecadienoate._Artificial_metabolite	System_input	N	fcpd02026	
C192e	Nonadecadienoate	Extracellular_space	Y	fcpd01504	Nonadecadienoate
C19DACP	Nonadec-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01509	Nonadec-2-enoyl-[acyl-carrier protein]
C19DCOAm	Nonadec-2-enoyl-CoA	Mitochondrion	Y	fcpd01510	Nonadec-2-enoyl-CoA
C19HACP	3-hydroxynonadecanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01511	3-hydroxynonadecanoyl-[acyl-carrier protein]
C19HCOAm	3-hydroxynonadecanoyl-CoA	Mitochondrion	Y	fcpd01512	3-hydroxynonadecanoyl-CoA
C19OACP	3-oxononadecanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01513	3-oxononadecanoyl-[acyl-carrier protein]
C19OCOAm	3-oxononadecanoyl-CoA	Mitochondrion	Y	fcpd01514	3-oxononadecanoyl-CoA
C200	Eicosanoate	Cytosol	Y	cpd03848	Arachidic acid
C200ACP	Eicosanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01515	Eicosanoyl-[acyl-carrier protein]
C200CAR	Eicosanoyl-carnitine	Cytosol	Y	fcpd01516	Eicosanoyl-carnitine
C200CARm	Eicosanoyl-carnitine	Mitochondrion	Y	fcpd01516	Eicosanoyl-carnitine
C200COA	Eicosanoyl-CoA	Cytosol	Y	cpd01393	Icosanoyl-CoA
C200COAm	Eicosanoyl-CoA	Mitochondrion	Y	cpd01393	Icosanoyl-CoA
C200_input	Input/Output_of_Eicosanoate._Artificial_metabolite	System_input	N	fcpd02027	
C200e	Eicosanoate	Extracellular_space	Y	cpd03848	Arachidic acid
C20DACP	Eicos-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01517	Eicos-2-enoyl-[acyl-carrier protein]
C20DCOAm	Eicos-2-enoyl-CoA	Mitochondrion	Y	fcpd01518	Eicos-2-enoyl-CoA
C20DHSPH	3-dehydrosphinganine(C20)	Cytosol	Y	cpd23958	2-amino-1-hydroxyicosan-3-one
C20HACP	3-hydroxyeicosanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01519	3-hydroxyeicosanoyl-[acyl-carrier protein]
C20HCOAm	3-hydroxyeicosanoyl-CoA	Mitochondrion	Y	fcpd01520	3-hydroxyeicosanoyl-CoA
C20OACP	3-oxoeicosanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01521	3-oxoeicosanoyl-[acyl-carrier protein]
C20OCOAm	3-oxoeicosanoyl-CoA	Mitochondrion	Y	fcpd01522	3-oxoeicosanoyl-CoA
C20PSPH	Phytosphingosine(C20)	Cytosol	Y	fcpd01281	phytosphingosine (C20)
C20SPH	Sphinganine(C20)	Cytosol	Y	cpd23959	1,3-eicosanediol, 2-amino-
C40	Butanoate	Cytosol	Y	cpd00211	Butyrate
C40ACP	Butanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11464	Butyryl-ACP
C40COA	Butanoyl-CoA	Cytosol	Y	cpd00120	Butyryl-CoA
C40COAm	Butanoyl-CoA	Mitochondrion	Y	cpd00120	Butyryl-CoA
C40_input	Input/Output_of_Butanoate._Artificial_metabolite	System_input	N	fcpd02028	
C40e	Butanoate	Extracellular_space	Y	cpd00211	Butyrate
C4DACP	But-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11465	But-2-enoyl-[acyl-carrier protein]
C4DCOAm	But-2-enoyl-CoA	Mitochondrion	Y	cpd00650	Crotonyl-CoA
C4HACP	3-hydroxybutanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01524	3-hydroxybutanoyl-[acyl-carrier protein]
C4HCOAm	3-hydroxybutanoyl-CoA	Mitochondrion	Y	cpd03043	3-Hydroxybutanoyl-CoA
C50ACP	Pentanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01525	Pentanoyl-[acyl-carrier protein]
C50COA	Pentanoyl-CoA	Cytosol	Y	cpd00660	Pentanoyl-CoA
C50COAm	Pentanoyl-CoA	Mitochondrion	Y	cpd00660	Pentanoyl-CoA
C5DACP	Pent-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01526	Pent-2-enoyl-[acyl-carrier protein]
C5DCOAm	Pent-2-enoyl-CoA	Mitochondrion	Y	cpd01599	Glutaconyl-1-CoA
C5HACP	3-hydroxypentanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01527	3-hydroxypentanoyl-[acyl-carrier protein]
C5HCOAm	3-hydroxypentanoyl-CoA	Mitochondrion	Y	cpd16641	3-hydroxypentanoyl-coa
C5OACP	3-oxopentanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01528	3-oxopentanoyl-[acyl-carrier protein]
C5OCOAm	3-oxopentanoyl-CoA	Mitochondrion	Y	cpd16642	3-oxopentanoyl-coa
C60	Hexanoate	Cytosol	Y	cpd01113	Hexanoate
C60ACP	Hexanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11472	Hexanoyl-ACP
C60COA	Hexanoyl-CoA	Cytosol	Y	cpd03124	Hexanoyl-CoA
C60COAm	Hexanoyl-CoA	Mitochondrion	Y	cpd03124	Hexanoyl-CoA
C60_input	Input/Output_of_Hexanoate._Artificial_metabolite	System_input	N	fcpd02029	
C60e	Hexanoate	Extracellular_space	Y	cpd01113	Hexanoate
C6DACP	Hex-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01529	Hex-2-enoyl-[acyl-carrier protein]
C6DCOAm	Hex-2-enoyl-CoA	Mitochondrion	Y	cpd03125	(2E)-Hexenoyl-CoA
C6HACP	3-hydroxyhexanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11479	D-3-Hydroxyhexanoyl-[acp]
C6HCOAm	3-hydroxyhexanoyl-CoA	Mitochondrion	Y	cpd16777	3-hydroxyhexanoyl-CoA
C6OACP	3-oxohexanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11486	3-Oxohexanoyl-[acp]
C6OCOAm	3-oxohexanoyl-CoA	Mitochondrion	Y	cpd03123	3-Oxohexanoyl-CoA
C70ACP	Heptanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01530	Heptanoyl-[acyl-carrier protein]
C70COAm	Heptanoyl-CoA	Mitochondrion	Y	cpd35246	heptanoyl-CoA
C7DACP	Hept-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01531	Hept-2-enoyl-[acyl-carrier protein]
C7DCOAm	Hept-2-enoyl-CoA	Mitochondrion	Y	fcpd01532	Hept-2-enoyl-CoA
C7HACP	3-hydroxyheptanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01533	3-hydroxyheptanoyl-[acyl-carrier protein]
C7HCOAm	3-hydroxyheptanoyl-CoA	Mitochondrion	Y	cpd31746	3-hydroxy-heptanoyl-CoA
C7OACP	3-oxoheptanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01534	3-oxoheptanoyl-[acyl-carrier protein]
C7OCOAm	3-oxoheptanoyl-CoA	Mitochondrion	Y	fcpd01296	3-oxoheptanoyl-CoA
C80	Octanoate	Cytosol	Y	cpd03846	octanoate
C80ACP	Octanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11470	Octanoyl-ACP
C80COA	Octanoyl-CoA	Cytosol	Y	cpd01335	Octanoyl-CoA
C80COAm	Octanoyl-CoA	Mitochondrion	Y	cpd01335	Octanoyl-CoA
C80_input	Input/Output_of_Octanoate._Artificial_metabolite	System_input	N	fcpd02030	
C80e	Octanoate	Extracellular_space	Y	cpd03846	octanoate
C8DACP	Oct-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11471	(2E)-Octenoyl-[acp]
C8DCOAm	Oct-2-enoyl-CoA	Mitochondrion	Y	cpd03130	(2E)-Octenoyl-CoA
C8HACP	3-hydroxyoctanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11483	(R)-3-Hydroxyoctanoyl-[acyl-carrier protein]
C8HCOAm	3-hydroxyoctanoyl-CoA	Mitochondrion	Y	cpd16779	3-hydroxyoctanoyl-CoA
C8OACP	3-oxooctanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11490	3-oxooctanoyl-acp
C8OCOAm	3-oxooctanoyl-CoA	Mitochondrion	Y	cpd03121	3-Oxooctanoyl-CoA
C90ACP	Nonanoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01536	Nonanoyl-[acyl-carrier protein]
C90COAm	Nonanoyl-CoA	Mitochondrion	Y	cpd01333	Nonanoyl-CoA
