# source=MFAToolkit WebGCM  sha=713236f  cues=etc/MFAToolkit/cues/  input=ModelSEED structures (Unique_ModelSEED_Structures.txt, SMILES preferred)  convention=A (H+ = -9.5 kcal/mol, H in compound dGf)  units=kcal/mol
compound_id	status	dg_kcal_per_mol	dgerr_kcal_per_mol	charge	formula	groups	note
cpd00080	ok	-328.68	0.75638	0	C3H8O6P	-OPO3:1|-CH2-:2|>CH-:1|-OH:2|Origin:1|-1	No special notes for this compound.
cpd00081	ok	-126.15	1	0	HO3S	sulfite:1|-1	No special notes for this compound.
cpd00082	ok	-219.17	2.7112	0	C6H12O6	-OH:5|-CH2-:2|ring -CH<:3|ring -O-:1|ring >C<:1|Origin:1|0	No special notes for this compound.
cpd00083	ok	-673.08	7.4016	0	C16H23N5O16P2	-NH2:1|ring =C<:1|ring =N-:2|two fused rings >C=:2|ring =CH-:1|ring -N<:1|ring -CH<:9|ring -O-:2|-CH2-:2|-OPO3-:1|-OPO2-:1|-OH:6|ring >C=O:1|amide:1|ring -NH-:1|Origin:1|OCCC:1|CCNC:1|heteroaromatic:1|-2	No special notes for this compound.
cpd00084	ok	-69.95	5.7287	0	C3H6NO2S	-NH3:1|>CH-:1|-CH2-:1|-Sneg:1|-COO:1|Origin:1|-1	No special notes for this compound.
cpd00085	ok	-86.11	0.57122	0	C3H7NO2	-NH3:1|-CH2-:2|-COO:1|Origin:1|0	No special notes for this compound.
cpd00086	ok	-784.21	7.0971	0	C24H37N7O17P3S	-CH3:3|-CH2-:7|>C=O:3|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd00087	ok	-99.67	5.9278	0	C19H21N7O6	-NH2:1|ring =C<:1|ring =N-:1|ring >C=O:1|two fused rings >C=:2|ring -NH-:3|ring -CH2-:1|ring -CH<:1|-CH2-:3|-NH-:2|aromatic ring =C<:2|aromatic ring =CH-:4|>C=O:1|>CH-:1|-COO:2|amide:1|Origin:1|OCCC:2|OCNC:1|-2	No special notes for this compound.
cpd00088	ok	22.10	8.7744	0	C12H7NO2Cl2	ring >C=O:1|ring =C<:2|tertiary -Cl:2|ring =CH-:2|ring >C=:1|=N-:1|aromatic ring =C<:2|aromatic ring =CH-:4|-OH:1|Origin:1|OCCC:2|CCCN:2|CCNC:1|0	No special notes for this compound.
cpd00089	ok	-430.78	3.0113	0	C6H12O9P	-OPO3:1|ring -CH<:5|ring -O-:1|-CH2-:1|-OH:4|Origin:1|-1	No special notes for this compound.
cpd00090	ok	-521.58	5.4924	0	C10H12N4O11P2	ring >C=O:1|ring =CH-:2|ring =N-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO2-:1|-OPO3:1|-OH:2|amide:1|ring -NH-:1|Origin:1|OCCC:1|CCNC:1|heteroaromatic:1|-2	No special notes for this compound.
cpd00091	ok	-397.77	3.7666	0	C9H12N2O9P	ring >C=O:2|ring =CH-:2|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO3:1|-OH:2|amide:2|ring -N<:1|ring -NH-:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd00092	ok	-52.51	2.2084	0	C4H4N2O2	ring >C=O:2|ring -CH2-:1|ring =CH-:1|ring =N-:1|amide:1|ring -NH-:1|Origin:1|OCNC:1|0	No special notes for this compound.
cpd00093	ok	-48.99	1.891	0	C7H6NO2	-NH2:1|aromatic ring =C<:2|aromatic ring =CH-:4|-COO:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd00094	ok	-111.07	0.62546	0	C4H5O3	-CH3:1|-CH2-:1|>C=O:1|-COO:1|Origin:1|OCCO:1|-1	No special notes for this compound.
cpd00095	ok	-320.66	0.6462	0	C3H6O6P	>C=O:1|-CH2-:2|-OH:1|-OPO3:1|Origin:1|-1	No special notes for this compound.
cpd00096	ok	-553.38	3.8386	0	C9H13N3O11P2	-NH2:1|ring =C<:1|ring =CH-:2|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO2-:1|-OPO3:1|-OH:2|ring >C=O:1|ring =N-:1|amide:1|ring -N<:1|Origin:1|OCNC:1|CCCN:1|-2	No special notes for this compound.
cpd00097	ok	-190.99	8.256	0	C14H3N2O8	-COO:3|ring =C<:3|ring =CH-:2|two fused rings >C=:4|ring =N-:1|ring >C=O:2|ring -NH-:1|Origin:1|OCCO:1|OCCC:4|OCCN:1|heteroaromatic:2|-3	No special notes for this compound.
cpd00098	ok	12.19	3.9388	0	C5H14NO	-CH3:3|>N<:1|-CH2-:2|-OH:1|Origin:1|1	No special notes for this compound.
cpd00099	unknown_group			0	Cl	Cl-:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: Cl-:1|
cpd00100	ok	-116.18	0.88798	0	C3H8O3	-OH:3|-CH2-:2|>CH-:1|Origin:1|0	No special notes for this compound.
cpd00101	ok	-394.12	2.6351	0	C5H10O8P	-OPO3:1|-CH2-:1|ring -CH<:4|ring -O-:1|-OH:3|Origin:1|-1	No special notes for this compound.
cpd00102	ok	-319.20	0.62983	0	C3H6O6P	-CH=O:1|>CH-:1|-OH:1|-CH2-:1|-OPO3:1|Origin:1|-1	No special notes for this compound.
