Source	Type	External ID	New ModelSEED ID	Old ModelSEED ID
BiGG	reactions	ICHORT	rxn30034	rxn02177
BiGG	reactions	IDH1	rxn30141	rxn00505
BiGG	reactions	IDP1_1	rxn30142	rxn01387
BiGG	reactions	IDP1_2	rxn25050	rxn00199
BiGG	reactions	IGPS	rxn30035	rxn02507
BiGG	reactions	ILEDH2	rxn30549	rxn01573
BiGG	reactions	ILETAm	rxn19240	rxn01575
BiGG	reactions	ILETRSm	rxn30401	rxn06440
BiGG	reactions	ILV1	rxn30143	rxn00737
BiGG	reactions	ILV2_2	rxn30144	rxn00003
BiGG	reactions	ILV3_3	rxn30145	rxn03437
BiGG	reactions	ILV5_3	rxn30146	rxn01790
BiGG	reactions	IPPSm	rxn30151	rxn00902
BiGG	reactions	ISC1_1	rxn30147	rxn05964
BiGG	reactions	ITCOALm	rxn30152	rxn01731
BiGG	reactions	KARA1	rxn15466	rxn02186
BiGG	reactions	KARA1i	rxn15466	rxn02186
BiGG	reactions	KARA1im	rxn30402	rxn02186
BiGG	reactions	KARA2im	rxn30403	rxn08764
BiGG	reactions	KGD1	rxn17745	rxn08094
BiGG	reactions	LACZpp	rxn29965	rxn00816
BiGG	reactions	LANOSTESTH_SCe	rxn30404	rxn13336
BiGG	reactions	LAT1	rxn30149	rxn01871
BiGG	reactions	LCAR	rxn15317	rxn01615
BiGG	reactions	LCARS	rxn15317	rxn01615
BiGG	reactions	LEU4	rxn30151	rxn00902
BiGG	reactions	LEUTAm	rxn19241	rxn00806
BiGG	reactions	LEUTRSm	rxn30168	rxn06441
BiGG	reactions	LLEUDr	rxn30550	rxn00804
BiGG	reactions	LPADSS	rxn30036	rxn03159
BiGG	reactions	LPD1	rxn27792	rxn01241
BiGG	reactions	LSC1	rxn30152	rxn01731
BiGG	reactions	LSC2	rxn28991	rxn00285
BiGG	reactions	LYS12	rxn30153	rxn01419
BiGG	reactions	LYS20_2	rxn30154	rxn00202
BiGG	reactions	LYS4	rxn30155	rxn03034
BiGG	reactions	LYSTRSm	rxn30405	rxn08857
BiGG	reactions	MAE1	rxn27983	rxn00161
BiGG	reactions	MAL12	rxn30130	rxn00022
BiGG	reactions	MAL32	rxn30130	rxn00022
BiGG	reactions	MALSp	rxn20162	rxn00330
BiGG	reactions	MALT	rxn30130	rxn00022
BiGG	reactions	MCBTS3	rxn10710	rxn13487
BiGG	reactions	MCITDm	rxn30206	rxn02466
BiGG	reactions	MCITL2m	rxn30406	rxn00289
BiGG	reactions	MCITSm	rxn30407	rxn00679
BiGG	reactions	MCOATAm	rxn30156	rxn05465
BiGG	reactions	MCPST	rxn02230	rxn02229|rxn02230
BiGG	reactions	MCT1	rxn30156	rxn05465
BiGG	reactions	MDH1	rxn20068	rxn00248
BiGG	reactions	MDH2	rxn08900	rxn00248|rxn08900
BiGG	reactions	MDH3	rxn08901	rxn00248|rxn08901
BiGG	reactions	MDHm	rxn20068	rxn00248
BiGG	reactions	MDHp	rxn27976	rxn00248
BiGG	reactions	ME1m	rxn27459	rxn00159
BiGG	reactions	ME2m	rxn27983	rxn00161
BiGG	reactions	MECDPDH	rxn10092	rxn05293|rxn10092
BiGG	reactions	MEP1	rxn29241	rxn05466
BiGG	reactions	MEP2	rxn29241	rxn05466
BiGG	reactions	MEP3	rxn29241	rxn05466
BiGG	reactions	MET12	rxn30157	rxn00910
BiGG	reactions	MET13	rxn30157	rxn00910
BiGG	reactions	MET7	rxn30129	rxn00689
BiGG	reactions	METGL	rxn30078	rxn00456
BiGG	reactions	METSOXR2	rxn07439	rxn08919
BiGG	reactions	METTRSm	rxn30165	rxn06443
BiGG	reactions	MI13456PKn	rxn30408	rxn03519
BiGG	reactions	MI1456PKn	rxn24251	rxn04041
BiGG	reactions	MI145P6Kn	rxn30409	rxn04040
BiGG	reactions	MI145PKn	rxn17662	rxn02460
BiGG	reactions	MIS1_1	rxn30158	rxn00907
BiGG	reactions	MIS1_2	rxn30159	rxn00690
BiGG	reactions	MIS1_3	rxn30160	rxn01211
