ID	DATABASE	RHEA
12-ALPHA-L-FUCOSIDASE-RXN	MetaCyc	10817
12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN	MetaCyc	21427
12-OXOPHYTODIENOATE-REDUCTASE-RXN	MetaCyc	21890
13-BETA-GLUCAN-SYNTHASE-RXN	MetaCyc	21479
13-BETA-OLIGOGLUCAN-PHOSPHORYLASE-RXN	MetaCyc	16044
13-PROPANEDIOL-DEHYDROGENASE-RXN	MetaCyc	23191
14-LACTONASE-RXN	MetaCyc	12746
15-OXOPROSTAGLANDIN-13-REDUCTASE-RXN	MetaCyc	11919|11915
16-HYDROXYSTEROID-EPIMERASE-RXN	MetaCyc	15832
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	MetaCyc	42297
1-METHYLADENOSINE-NUCLEOSIDASE-RXN	MetaCyc	12868
1PFRUCTPHOSN-RXN	MetaCyc	14214
1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN	MetaCyc	12710
1-PHOSPHATIDYLINOSITOL-KINASE-RXN	MetaCyc	19878
1TRANSKETO-RXN	MetaCyc	10511
2.1.1.100-RXN	MetaCyc	21673
2.1.1.103-RXN	MetaCyc	20366
2.1.1.105-RXN	MetaCyc	17408
2.1.1.109-RXN	MetaCyc	11505
2.1.1.110-RXN	MetaCyc	15562
2.1.1.113-RXN	MetaCyc	16858
2.1.1.114-RXN	MetaCyc	14122
2.1.1.115-RXN	MetaCyc	13008
2.1.1.116-RXN	MetaCyc	17790
2.1.1.117-RXN	MetaCyc	23809
2.1.1.118-RXN	MetaCyc	15374
2.1.1.119-RXN	MetaCyc	18542
2.1.1.120-RXN	MetaCyc	21093
2.1.1.121-RXN	MetaCyc	11895
2.1.1.122-RXN	MetaCyc	12806
2.1.1.124-RXN	MetaCyc	21873
2.1.1.125-RXN	MetaCyc	12111
2.1.1.126-RXN	MetaCyc	10499
2.1.1.127-RXN	MetaCyc	50997
2.1.1.128-RXN	MetaCyc	19942|31908
2.1.1.129-RXN	MetaCyc	23249
2.1.1.130-RXN	MetaCyc	16844
2.1.1.131-RXN	MetaCyc	12764
2.1.1.132-RXN	MetaCyc	17478
2.1.1.133-RXN	MetaCyc	22013
