reaction_id	name	grade	projected_grade	mechanism_grade	limiting_compound	reason	n_compounds	n_graded	distinct_grades	in_priority_scope	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	SILVER	SILVER	GOLD	cpd00009	ChemAxon ladder from pinned cache	4	4	2	1	-1.405	0.958
rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd00638	MolGpKa with symmetry collapse	7	7	3	1	-3.601	0.738
rxn00139	AMP:diphosphate phospho-D-ribosyltransferase	SILVER	SILVER	GOLD	cpd00018	ChemAxon ladder from pinned cache	5	5	2	1	4.089	0.341
rxn00140	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	SILVER	SILVER	GOLD	cpd00018	ChemAxon ladder from pinned cache	4	4	2	1	-10.057	0.287
rxn00141	S-Adenosyl-L-homocysteine hydrolase	SILVER	SILVER	GOLD	cpd00019	ChemAxon ladder from pinned cache	4	4	2	1	8.303	0.747
rxn00142	S-Adenosyl-L-homocysteine aminohydrolase	BRONZE	BRONZE	BRONZE	cpd02171	MolGpKa, sites chemically distinct	5	5	3	1	-5.799	0.725
rxn00143	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	BRONZE	BRONZE	SILVER	cpd02227	MolGpKa, sites chemically distinct	4	4	3	1	-1.616	0.723
rxn00144	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-	SILVER	SILVER	GOLD	cpd00013	ChemAxon ladder from pinned cache	5	5	2	1	1.459	1.038
rxn00147	ATP:pyruvate,water phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	7	7	2	1	0.641	0.127
rxn00148	ATP:pyruvate 2-O-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	6.672	0.109
rxn00149	pyruvaldehyde:NAD+ oxidoreductase	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	6	6	2	1	-7.901	0.539
rxn00150	2-Oxopropanal:NADP+ oxidoreductase	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	6	6	2	1	-7.907	0.544
rxn00151	ATP:pyruvate,phosphate phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	7	7	2	1	4.625	0.125
rxn00152	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)	BRONZE	BRONZE	SILVER	cpd00025	MolGpKa, sites chemically distinct	7	7	3	1	-38.041	1.340
rxn00153	Phosphoenolpyruvate phosphohydrolase	SILVER	SILVER	GOLD	cpd00009	ChemAxon ladder from pinned cache	4	4	2	1	-12.764	0.140
rxn00154	pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	6	6	2	1	-9.041	0.837
rxn00155	pyruvate:NADP+ 2-oxidoreductase (CoA-acetylating)	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	6	6	2	1	-9.048	0.839
rxn00156	pyruvate:oxygen 2-oxidoreductase (CoA-acetylating)	BRONZE	BRONZE	SILVER	cpd00025	MolGpKa, sites chemically distinct	7	7	3	1	-40.323	1.337
rxn00157	Acetyl-CoA:formate C-acetyltransferase	SILVER	SILVER	GOLD	cpd00010	ChemAxon ladder from pinned cache	4	4	2	1	4.349	0.382
rxn00158	O-carbamoyl-L-serine ammonia-lyase (decarboxylating; pyruvat	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd01933	MolGpKa with symmetry collapse	6	6	3	1	-90.902	23901.852
rxn00159	(S)-malate:NAD+ oxidoreductase (decarboxylating)	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	5	5	2	1	0.923	0.825
rxn00160	(R)-Malate:NAD+ oxidoreductase (decarboxylating)	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	5	5	2	1	2.893	1.362
rxn00161	(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	5	5	2	1	0.917	0.829
rxn00162	oxaloacetate carboxy-lyase (pyruvate-forming)	SILVER	SILVER	GOLD	cpd00020	ChemAxon ladder from pinned cache	4	4	2	1	-3.178	0.825
rxn00163	acetylenedicarboxylate carboxy-lyase (pyruvate-forming)	SILVER	SILVER	GOLD	cpd00020	ChemAxon ladder from pinned cache	5	5	2	1	27.541	23901.501
rxn00164	2-Hydroxyethylenedicarboxylate carboxy-lyase (pyruvate-formi	SILVER	SILVER	GOLD	cpd00020	ChemAxon ladder from pinned cache	4	4	2	1	3.178	0.825
rxn00165	L-serine ammonia-lyase	SILVER	SILVER	GOLD	cpd00013	ChemAxon ladder from pinned cache	3	3	1	1	-6.683	0.240
rxn00166	D-serine ammonia-lyase	SILVER	SILVER	GOLD	cpd00013	ChemAxon ladder from pinned cache	3	3	1	1	-5.879	0.750
rxn00168	pyruvate carboxy-lyase (acetaldehyde-forming)	SILVER	SILVER	GOLD	cpd00020	ChemAxon ladder from pinned cache	4	4	2	1	-5.085	0.859
rxn00170	Acetyl-CoA hydrolase	SILVER	SILVER	GOLD	cpd00010	ChemAxon ladder from pinned cache	5	5	2	1	-6.932	0.134
rxn00171	acetaldehyde:NAD+ oxidoreductase (CoA-acetylating)	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	6	6	2	1	-3.957	0.314
rxn00172	Acetate:CoA ligase (ADP-forming)	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	6	6	1	1	0.840	0.097
rxn00173	acetyl-CoA:phosphate acetyltransferase	SILVER	SILVER	GOLD	cpd00009	ChemAxon ladder from pinned cache	4	4	1	1	2.281	0.155
rxn00174	malonyl-CoA carboxy-lyase (acetyl-CoA-forming)	SILVER	SILVER	GOLD	cpd00022	ChemAxon ladder from pinned cache	4	4	2	1	-4.294	0.832
rxn00175	Acetate:CoA ligase (AMP-forming)	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	7	7	2	1	-1.207	0.103
rxn00176	acetyl adenylate:CoA acetyltransferase	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd03566	MolGpKa with symmetry collapse	5	5	3	1	-280.051	23901.371
rxn00177	(3S)-citramalyl-CoA pyruvate-lyase (acetyl-CoA-forming)	SILVER	SILVER	GOLD	cpd00020	ChemAxon ladder from pinned cache	3	3	1	1	3.455	0.400
rxn00178	Acetyl-CoA:acetyl-CoA C-acetyltransferase	SILVER	SILVER	GOLD	cpd00010	ChemAxon ladder from pinned cache	3	3	1	1	5.858	0.220
rxn00179	ATP:L-glutamate 5-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	4	4	1	1	7.379	0.601
rxn00180	Glutamate 5-kinase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	4	4	1	1	6.683	0.601
rxn00181	ATP:L-glutamate 1-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	4	4	1	1	6.683	0.601
rxn00182	L-glutamate:NAD+ oxidoreductase (deaminating)	SILVER	SILVER	GOLD	cpd00003	ChemAxon ladder from pinned cache	7	7	2	1	8.745	0.071
rxn00183	L-Glutamate 5-semialdehyde:NAD+ oxidoreductase	BRONZE	BRONZE	SILVER	cpd00858	MolGpKa, sites chemically distinct	6	6	3	1	-11.515	0.531
rxn00184	L-Glutamate:NADP+ oxidoreductase (deaminating)	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	7	7	2	1	8.738	0.095
rxn00185	L-Glutamate:oxygen oxidoreductase (deaminating)	BRONZE	BRONZE	SILVER	cpd00025	MolGpKa, sites chemically distinct	6	6	3	1	-22.537	1.069
