# Reactions whose energy moved more than 10.0 kcal/mol between the
# reference and shipped builds. Treat every one as LOW CONFIDENCE.
#
# RISK MARKER, NOT A VERDICT:
#   unbalanced_enumeration  a compound's pKa source was substituted while a
#       partner carrying sites above pH 7 was not, so spurious sites no longer
#       cancel (~9.55 kcal/mol per unbalanced proton). rxn08713 satisfies this
#       and still lands on the independently-derived Marvin-era value, so the
#       signature over-selects.
#   large_shift_mechanism_unidentified  moved without that signature. Includes
#       rxn08789, which moved TOWARD the Marvin-era value and is a correction.
#
# The reference value is NOT a safe fallback: there both partners carried the
# same spurious sites and the errors cancelled, which is not accuracy.
# NONE of these reactions has a TECRDB match, so neither value can be checked
# against experiment.
#
# shipped:   /scratch/seaver/Claude_Projects/eQuilibrator/data/cache_final/compounds.sqlite
# reference: /scratch/seaver/Claude_Projects/eQuilibrator/data/prev_20260903/cache_final/compounds.sqlite
reaction_id	name	dg_reference_kcal	dg_shipped_kcal	shift_kcal	net_site_change	flag	compounds_resubstituted	partners_left_unchanged	largest_partner	largest_partner_name
rxn26104	RXN0-5120.p	-25.198	-3.631	21.57	-45	unbalanced_enumeration	cpd15484;cpd26538;cpd28293	cpd00014	cpd00014	UDP
rxn37435	RXN0-5120.c.metaexp.CPD-12575	-24.510	-3.322	21.19	-43	unbalanced_enumeration	cpd15484;cpd26538	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn37436	RXN0-5120.p.metaexp.CPD-12575	-24.510	-3.322	21.19	-43	unbalanced_enumeration	cpd15484;cpd26538	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn25112	RXN-8727.c	-15.722	5.207	20.93	12	unbalanced_enumeration	cpd25507;cpd25511	cpd00190;cpd00852	cpd00852	beta-Glucogallin
rxn42357		-15.900	4.989	20.89	12	unbalanced_enumeration	cpd25507;cpd25511	cpd00027;cpd00852	cpd00852	beta-Glucogallin
rxn25110	RXN-8725.c	-14.576	5.207	19.78	12	unbalanced_enumeration	cpd25508;cpd25511	cpd00190;cpd00852	cpd00852	beta-Glucogallin
rxn44992		-14.755	4.989	19.74	12	unbalanced_enumeration	cpd25508;cpd25511	cpd00027;cpd00852	cpd00852	beta-Glucogallin
rxn57038		-22.972	-3.322	19.65	-49	unbalanced_enumeration	cpd46740;cpd46744	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn25109	RXN-8724.c	-14.085	5.207	19.29	12	unbalanced_enumeration	cpd25508;cpd25510	cpd00190;cpd00852	cpd00852	beta-Glucogallin
rxn47353		-14.264	4.989	19.25	12	unbalanced_enumeration	cpd25508;cpd25510	cpd00027;cpd00852	cpd00852	beta-Glucogallin
rxn26106	RXN0-5121.c	-24.888	-5.721	19.17	-45	unbalanced_enumeration	cpd26538;cpd26539	cpd00002;cpd00008	cpd00008	ADP
rxn26107	RXN0-5121.p	-24.888	-5.721	19.17	-45	unbalanced_enumeration	cpd26538;cpd26539	cpd00002;cpd00008	cpd00008	ADP
rxn59301		21.192	2.134	-19.06	-46	large_shift_mechanism_unidentified	cpd44978;cpd45741;cpd45746			
rxn08708	LPS heptose kinase I (LPS core synthesis)	-23.590	-5.721	17.87	-39	unbalanced_enumeration	cpd15484;cpd15549	cpd00002;cpd00008	cpd00008	ADP
rxn26110	RXN0-5123.c	-24.914	-7.272	17.64	-51	unbalanced_enumeration	cpd26540;cpd26541	cpd00002;cpd00008	cpd00008	ADP
rxn26111	RXN0-5123.p	-24.914	-7.272	17.64	-51	unbalanced_enumeration	cpd26540;cpd26541	cpd00002;cpd00008	cpd00008	ADP
rxn24089	ALG9 mannosyltransferase	-72.984	-55.476	17.51	-45	unbalanced_enumeration	cpd24558;cpd24559	cpd24353	cpd24353	CPD-171
rxn24090	ALG9 mannosyltransferase	-72.984	-55.476	17.51	-45	unbalanced_enumeration	cpd24558;cpd24559	cpd24353	cpd24353	CPD-171
rxn58147		-23.031	-5.721	17.31	-39	unbalanced_enumeration	cpd15484;cpd46629	cpd00002;cpd00008	cpd00008	ADP
rxn21662	RXN-11350.c	-19.072	-2.491	16.58	-43	large_shift_mechanism_unidentified	cpd23331;cpd23345			
rxn21638	(KDO)3-lipid IVA (2->4) 3-deoxy-D-manno-octulosonic acid tra	-73.344	-56.921	16.42	-34	unbalanced_enumeration	cpd02546;cpd03586;cpd23330	cpd00046	cpd00046	CMP
rxn54611	59100	-32.540	-16.535	16.00	-26	unbalanced_enumeration	cpd38324;cpd38325	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn16607	CMP-3-deoxy-D-manno-oct-2-ulosonate:(KDO)2-lipid IVA 3-deoxy	-74.007	-58.437	15.57	-34	unbalanced_enumeration	cpd02546;cpd03586;cpd21115	cpd00046	cpd00046	CMP
rxn08709	LPS heptose kinase II (LPS core synthesis)	-22.621	-7.272	15.35	-45	unbalanced_enumeration	cpd15488;cpd15550	cpd00002;cpd00008	cpd00008	ADP
rxn08789	core oligosaccharide lipid A:hexadecanoate transferase (n-C1	19.701	4.847	-14.85	-85	large_shift_mechanism_unidentified	cpd15432;cpd15482			
rxn25102	RXN-8717.c	-14.856	-0.021	14.83	-8	unbalanced_enumeration	cpd02671;cpd02748	cpd00190;cpd00852	cpd00852	beta-Glucogallin
rxn47598		-15.035	-0.240	14.79	-8	unbalanced_enumeration	cpd02671;cpd02748	cpd00027;cpd00852	cpd00852	beta-Glucogallin
rxn58417		-16.393	-2.330	14.06	-49	unbalanced_enumeration	cpd01482;cpd46239;cpd46253	cpd00014	cpd00014	UDP
rxn60428		-15.717	-1.721	14.00	-37	unbalanced_enumeration	cpd46219;cpd46238	cpd00031;cpd00083	cpd00031	GDP
rxn60617		-18.088	-4.240	13.85	-55	unbalanced_enumeration	cpd01482;cpd46224;cpd46239	cpd00014	cpd00014	UDP
rxn59702		-14.899	-1.939	12.96	-43	unbalanced_enumeration	cpd01482;cpd46221;cpd46253	cpd00014	cpd00014	UDP
rxn03101	1-O-Galloyl-beta-D-glucose:1,2,3,6-tetrakis-O-galloyl-beta-D	-1.852	-13.979	-12.13	-2	unbalanced_enumeration	cpd02748;cpd02785	cpd00027;cpd00852	cpd00852	beta-Glucogallin
rxn60464		-13.311	-1.213	12.10	-35	unbalanced_enumeration	cpd46221;cpd46236	cpd00031;cpd00083	cpd00031	GDP
rxn15471	1-O-Galloyl-beta-D-glucose:1,2,3,6-tetrakis-O-galloyl-beta-D	-1.673	-13.761	-12.09	-2	unbalanced_enumeration	cpd02748;cpd02785	cpd00190;cpd00852	cpd00852	beta-Glucogallin
