C00001	O
C12050	COC[C@H]1O[C@@H](O[C@@H]2OC[C@@H]3O[C@@]4(OC[C@@H](OC(=O)c5c(C)cc(O)cc5O)[C@@H]5OCO[C@H]54)O[C@H]3[C@H]2O)C(OC)[C@@H](O)C1O[C@@H]1O[C@H](C)[C@H](OC)[C@@H](O[C@@H]2O[C@H](C)[C@H]3OC4(C[C@@H](O)[C@H](O[C@H]5C[C@@H](O[C@@H]6C[C@](C)([N+](=O)[O-])[C@@H](OC)[C@H](C)O6)[C@H](OC(=O)c6c(C)c(Cl)c([O-])c(Cl)c6OC)[C@@H](C)O5)[C@@H](C)O4)O[C@]3(C)[C@@H]2O)[C@H]1O
C12051	C/C=C(\NC(=O)c1csc(-c2csc(-c3ccc4c(n3)-c3csc(n3)[C@H]([C@@H](C)O)NC(=O)c3csc(n3)[C@@H](C(C)C)NC(=O)c3csc(n3)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c3csc-4n3)n2)n1)C(=O)NC[C@H](C)O
C12052	C/C=C(\NC(=O)c1csc(-c2csc(-c3ccc4c(n3)-c3csc(n3)[C@H](C(C)C)NC(=O)c3csc(n3)[C@@H](C(C)C)NC(=O)c3csc(n3)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c3csc-4n3)n2)n1)C(=O)NC[C@H](C)O
C12053	C=C(NC(=O)c1csc(-c2nc3c(cc2[O-])-c2nc(cs2)C(=O)N[C@@H]([C@@H](C)O)C(=O)N/C(=C\C)c2nc(cs2)C(=O)N[C@@H]2CC(O)C(=O)OCc4cccc5[nH]c(c(C)c45)C(=O)SC[C@H](NC(=O)c4csc2n4)c2nc-3cs2)n1)C(N)=O
C12054	C=C(NC(=O)C(=C)NC(=O)c1csc(C2=NC3c4csc(n4)[C@H]4NC(=O)c5csc(n5)[C@@H](C(C)(O)C(C)O)NC(=O)C5CSC(=N5)/C(=C/C)NC(=O)[C@H]([C@@H](C)O)NC(=O)c5csc(n5)C3(CC2)NC(=O)C(C)NC(=O)C(=C)NC(=O)C(C)NC(=O)C(C(C)CC)[NH2+][C@@H]2C=Cc3c(C(C)O)cc(nc3[C@H]2O)C(=O)OC4C)n1)C(N)=O
C12055	C=C(NC(=O)C(=C)NC(=O)C(=C)NC(=O)c1ccc2c(n1)-c1coc(n1)C(=C)NC(=O)C(=C)NC(=O)c1nc(oc1C)/C(=C/C)NC(=O)c1csc(n1)[C@@H](OC)NC(=O)c1nc(oc1C)/C(=C/C(C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)c1csc-2n1)C(N)=O
C12056	CCCCC[C@H](CC(=O)NO)C(=O)N[C@H](C(=O)N1CCC[C@H]1CO)C(C)C
C12057	Cc1c(O)cc(O)c2c1C(=O)OC[C@H](NC(=O)[C@@H]1[C@H](O)CCN1C(=O)C([NH3+])CO)C(=O)N[C@H](C(=O)N[C@@H](C)C(=O)[O-])CSC2
C12058	C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O
C12059	Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
C12062	CN(C(=O)[C@@H]([NH3+])Cc1ccccc1)[C@@H](CCC[NH3+])C(=O)Nc1ccc2ccccc2c1
C12063	CC(=O)N[C@H]1[C@@H](O[C@H]2O[C@H](CC(O)[C@H]3O[C@@H](n4ccc(=O)[nH]c4=O)[C@H](O)[C@@H]3O)[C@H](O)[C@H](O)[C@H]2NC(=O)/C=C/CC(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O
C12064	CC(=O)Oc1cccc(O)c1
C12065	C=C[C@]1(C)C[C@@H](OC(=O)CSCC[NH+](CC)CC)[C@]2(C)[C@H](C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
C12066	C=C[C@]1(C)C[C@@H](OC(=O)CSC(C)(C)CNC(=O)C([NH3+])C(C)C)[C@]2(C)C(C)CC[C@]3(CCC(=O)[C@H]32)[C@@H](C)[C@@H]1O
C12067	C[NH+](C)[C@H]1[C@@H](O)O[C@H](CO)[C@@H](O)[C@@H]1O
C12068	CNC(=O)CC1NC(=O)c2csc(n2)-c2ccc(-c3nc(C4=NC(C(=O)N5CCCC5C(N)=O)CO4)cs3)nc2-c2csc(n2)-c2csc(n2)C(C(O)c2ccccc2)NC(=O)CNC(=O)c2nc(sc2COC)C(C(C)C)NC(=O)c2nc1sc2C
C12069	O=CCC(=O)[O-]
C12070	CO[C@@H]1[C@H](O)[C@@H](OC)[C@H](OC(C)C(O)/C=C/C=CC=CC(=O)C(C)C(O)C(C)C2C/C=C/C=CCCC(=O)C(=O)C(C)=CC=CC(C)=CC(O)/C(C)=C\CC(=O)O2)O[C@@H]1C
C12072	C/C=C1/CN2[C@H]3C[C@@H]1C(C=O)[C@@H]2Cc1c3[nH]c2cc(OC)ccc12
C12073	C/C=C1/CN2[C@H]3C[C@@H]1C1[C@@H]2C[C@@]2(C3=Nc3cc(OC)ccc32)[C@@H]1OC(C)=O
C12075	C/C=C1/C[NH+]2[C@H]3C[C@@]45c6ccccc6N(C)[C@H]4[C@@H]2C[C@@H]1C3[C@H]5O
C12076	C[C@@H]1C[C@@H](O)[C@]2(O)[C@]3(COC3=O)[C@@](C)(O)[C@H]3C[C@@]12CC(=O)O3
C12077	CC(C)C1=CC2=C(CC1)[C@@]1(C)CCC[C@@](C)(C(=O)[O-])[C@@H]1CC2
C12078	CC(C)c1ccc2c(c1)CC[C@@H]1[C@]2(C)CCC[C@@]1(C)C(=O)[O-]
C12079	OC[C@H]1O[C@H](Oc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O
C12080	Cc1cc(O)c2c3c4c(cc(O)c13)C(C)(C)C(=O)c1c(O)cc(O)c(c1-4)C2=O
C12081	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](C(=O)[O-])O[C@H]3O[C@H]3CC[C@@]4(C)[C@@H](CC[C@]5(C)[C@@H]4CC=C4[C@@H]6CC(C)(C)C[C@@H](O)[C@]6(C)CC[C@]45C)[C@@]3(C)CO)OC[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
C12082	C[C@@H]1O[C@@H](O[C@H]2[C@H](O[C@@H]3[C@@H](O)[C@H](O)[C@@H](C(=O)[O-])O[C@H]3O)O[C@H](CO)[C@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
C12083	CC/C=C\C/C=C\CCC/C=C/C=C/C=C\CCCC(=O)[O-]
C12085	O=c1cc(O)cc(/C=C/c2ccc(O)cc2)o1
C12087	O=C(C=Cc1ccc(O)cc1)Cc1cc(O)cc(=O)o1
C12088	CC(=O)/C=C/c1ccc(O)cc1
C12089	CC(=O)NCCSC(=O)CC(=O)C=Cc1ccc(O)cc1
C12090	Cc1c(O)cc(/C=C/c2ccc(O)cc2)oc1=O
C12091	CO[C@@H]1[C@@H](O)[C@H](C)O[C@@H](O[C@H]2CC[C@]3(C)[C@H]4CC[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@@H]3C2)[C@H]1O[C@@H]1O[C@H](CO[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@H](O)[C@H]1O
C12092	CNc1ccccc1C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C12093	Cn1c2cc(=O)cc(O)c-2c(O)c2ccccc21
C12095	O=C(C=Cc1ccc(O)cc1)OC[C@H]1O[C@@H](Oc2cc3c(=O)cc(O)cc-3oc2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
C12096	O=C(C=Cc1ccc(O)cc1)OC[C@H]1O[C@@H](Oc2cc3c(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(=O)cc-3oc2-c2ccc(O)c(O)c2)[C@H](O)[C@@H](O)[C@@H]1O
C12098	CO[C@H]1/C=C/C=C/C=C/C[C@H](OC(=O)[C@@H](C)NC(=O)C2CCCCC2)[C@H](C)[C@@H](O)/C(C)=C\CCC2=CC(=O)C=C(NC(=O)C1)C2=O
C12099	O=C(C=CC=CC=CC1CCCCC1)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2=C(O)CCC2=O)[C@@H]2O[C@@H]2C1=O
C12100	O=C([O-])CCCCCCCCCCC1CCCCC1
C12101	O=C([O-])C1=CCCCC1
C12102	CC[C@@H]1/C=C(\C)C[C@H](C)C[C@H](OC)[C@H]2O[C@@](O)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@H](/C(C)=C/[C@@H]3CC[C@@H](O)[C@H](OC)C3)[C@H](C)[C@@H](O)CC1=O)[C@H](C)C[C@@H]2OC
C12103	O=C([O-])CCCCCCCCCCC1CCCCCC1
C12104	O=C([O-])C1CCCCCC1
C12105	O=c1osc2c(=S)cccc(O)c12
C12106	[NH3+][C@H](CC(=O)C(=O)[O-])[C@H](O)[C@H](O)COP(=O)([O-])[O-]
C12107	Nc1cc(O)cc(C(=O)[O-])c1
C12108	[NH3+][C@@H]1CC(C(=O)[O-])=CC(=O)[C@H]1O
C12109	[NH3+][C@@H]1C[C@](O)(C(=O)[O-])CC(=O)[C@H]1O
C12110	[NH3+]C1C=CC=C(C(=O)[O-])C1
C12111	CCCC[C@@H](C)C=C(C)C=C(C)C(=O)NC1=C[C@@](O)(C=CC=CC=CC(=O)NC2=C(O)CCC2=O)[C@@H]2O[C@@H]2C1=O
C12112	OCC1=C[C@H]([NH2+][C@H]2C[C@H](CO)[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
C12113	O=C1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O
C12114	NC(=O)c1ccc([O-])c(N=O)c1
C12115	Nc1cc(C(=O)[O-])ccc1O
C12116	CC(O)c1cccc2nc3c(C(=O)[O-])cc4c(c3nc12)C(C)c1cccc2c1N4c1cccc(C(=O)[O-])c1N2
C12117	C[C@@H](O)c1cccc2nc3c(C(=O)[O-])cccc3nc12
C12118	COC(=O)c1cccc2nc3c(C(C)O)cccc3nc12
C12119	O=C([O-])c1cccc2nc3c(C(=O)[O-])cccc3nc12
C12120	CC(=O)c1cccc2nc3c(C(=O)[O-])cccc3nc12
C12121	[NH3+][C@@H]1CC(C(=O)[O-])=C[C@@H](O)[C@H]1O
C12122	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)CC2
C12123	O=c1cc(-c2ccc(O)cc2)oc2cc([O-])ccc12
C12124	Oc1ccc([C@@H]2CC(O)c3c(O)cc(O)cc3O2)cc1
C12125	COc1ccc2c(=O)c(-c3ccc(O)cc3)coc2c1
C12126	*C(=O)N[C@@H](CO)[C@H](O)CCCCCCCCCCCCCCC
C12127	Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@@H](O)C2
C12128	Oc1ccc([C@H]2Oc3cc(O)cc(O)c3C[C@H]2O)cc1
C12129	O=C(C=Cc1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2cc3oc(-c4ccc(O)c(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)c4)c(O[C@@H]4O[C@H](COC(=O)CC(=O)OC(C(=O)[O-])C(O)C(=O)[O-])[C@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4OC(=O)C=Cc4ccc(O)c(O)c4)cc-3c(=O)c2)[C@H](O)[C@@H](O)[C@@H]1O
C12130	O=C(C=Cc1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2cc3oc(-c4cc(O)c(O)c(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)c4)c(O[C@@H]4O[C@H](CO)[C@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4OC(=O)C=Cc4ccc(O)c(O)c4)cc-3c(=O)c2)[C@H](O)[C@@H](O)[C@@H]1O
C12131	O=C([O-])CC(=O)OC[C@H]1O[C@@H](Oc2cc3c(=O)cc(O[C@@H]4O[C@H](COC(=O)C=Cc5ccc(O)c(O)c5)[C@@H](O)[C@H](O)[C@H]4O)cc-3oc2-c2cc(O)c(O)c(O[C@@H]3O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]3O)c2)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2OC(=O)C=Cc2ccc(O)c(O)c2)[C@@H](O)[C@H]1O
C12132	O=C(C=Cc1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2cc3oc(-c4cc(O)c(O)c(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)c4)c(O[C@@H]4O[C@H](COC(=O)CC(=O)OC(C(=O)[O-])C(O)C(=O)[O-])[C@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4OC(=O)C=Cc4ccc(O)c(O)c4)cc-3c(=O)c2)[C@H](O)[C@@H](O)[C@@H]1O
C12133	O=C(C=Cc1ccc(O)c(O)c1)OC[C@H]1O[C@@H](Oc2cc3oc(-c4cc(O)c(O)c(O)c4)c(O[C@@H]4O[C@H](COC(=O)CC(=O)OC(C(=O)[O-])C(O)C(=O)[O-])[C@H](O)[C@H](O)[C@H]4O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4OC(=O)C=Cc4ccc(O)c(O)c4)cc-3c(=O)c2)[C@H](O)[C@@H](O)[C@@H]1O
C12134	O=c1c(-c2ccc(O)cc2O)coc2cc([O-])cc(O)c12
C12135	COc1ccc(-c2coc3cc([O-])cc(O)c3c2=O)c(O)c1
C12136	Oc1cc(O)c2c(c1)O[C@H](c1cc(O)c(O)c(O)c1)[C@H](O)C2
C12137	O=c1cc(O)cc2oc(-c3ccc(O)cc3)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1-2
C12138	[O-]c1cc(=[OH+])cc2oc(-c3cc(O)c(O)c(O)c3)c(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc1-2
C12139	COc1cc(-c2oc3cc(=[OH+])cc([O-])c-3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(O)c1O
C12140	COc1cc(-c2oc3cc(=[OH+])cc([O-])c-3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O
C12141	COc1cc(-c2oc3cc(=[OH+])cc([O-])c-3cc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)ccc1O
C12142	C=C(C)[C@@H]1CC[C@@]2(C1)C(C)=CCC[C@H]2C
C12143	Nc1ccc2[nH]c3ccccc3c(=O)c2c1
C12144	CCCCCCCCCCCCCC[C@@H](O)[C@@H](O)[C@@H]([NH3+])CO
C12145	*C(=O)N[C@@H](CO)[C@H](O)[C@H](O)CCCCCCCCCCCCCC
C12146	*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C12147	C[C@@H](OP(=O)([O-])[O-])[C@H]([NH3+])C(=O)[O-]
C12148	C/C=C(C)/C=C/C=C/[C@H](OC)[C@@H](C)[C@@H](OC)[C@@H](C)CCc1oc2c(O)c(OC)cc(OC)c2c(=O)c1C
C12149	C/C=C(C)/C=C/C=C/[C@H](OC)[C@@H](C)[C@@H](OC)[C@@H](C)CCc1oc2cc([O-])cc(O)c2c(=O)c1C
C12150	C/C=C(C)/C=C/C=C/[C@H](OC)[C@@H](C)[C@@H](OC)[C@@H](C)CCc1oc2cc([O-])cc(OC)c2c(=O)c1C
C12151	CC(=C\C=C\C(C)=C\[C@H](O)[C@@H](O)C[C@H](C)O)/C=C(C)/C=C/C(=O)O[C@H]1CCCC(=O)O[C@@H]([C@@H](C)C/C(C)=C/[C@@H](C)[C@H](O)C[C@@H](C)O)C/C=C(\C)C[C@@H]1C
C12152	CO[C@@H]1[C@@H](O[C@@H]2O[C@H](C)[C@@H](O[C@H]3C[C@@](C)(O)[C@@H](OC(=O)C(C)C)[C@H](C)O3)[C@H]([NH+](C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O
C12153	C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@@H]2CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
C12154	C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](O)CC(=O)O1
C12155	C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)[O-])[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H]([NH3+])[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2
C12156	C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)[O-])[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H]([NH3+])[C@@H]3O)/C=C/C=C/C=C/C=C/CC/C=C/C=C/[C@H](C)[C@@H](OC3C[C@@H](O)[C@@H](O)[C@H](C)O3)[C@H]1C)O2
C12157	CC(/C=C/C(O)C/C=C/C=C(\C)C(=O)N[C@@H](C)CO)=C\[C@@H](C)[C@@H](O)/C(C)=C/C(C)C
C12158	CCC(C)/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C=C\C=C\C=C(/C)C(=O)N[C@@H](C)CO
C12159	CC(/C=C/C=C\C=C\C=C(/C)C(=O)N[C@@H](C)CO)=C\[C@@H](C)[C@@H](O)/C(C)=C/C(C)C
C12160	CC/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C=C\C=C\C=C(/C)C(=O)N[C@@H](C)CO
C12161	C/C=C(\C)[C@H](O)[C@H](C)/C=C(C)/C=C/C=C\C=C\C=C(/C)C(=O)N[C@@H](C)CO
C12162	O[C@H]1C=C[C@@]23CC[NH+](Cc4cc5c(cc42)OCO5)[C@@H]3C1
C12163	COc1c2c(cc3c1OCO3)[C@]13C=C[C@H](O)C[C@H]1[NH+](CC3)C2
C12164	O[C@H]1C=C[C@@]23c4cc5c(cc4C[NH+](C[C@@H]2O)[C@H]3C1)OCO5
C12165	CC(=O)O[C@H]1C=C[C@@]23c4cc5c(cc4C[NH+](C[C@@H]2O)[C@H]3C1)OCO5
C12166	CC(=O)O[C@@H]1[C@@H](O)C=C2CC[NH+]3Cc4cc5c(cc4[C@H]1[C@@H]23)OCO5
C12167	COc1cc2c(cc1O)C[NH+](C)C[C@H]2c1ccc(O)cc1
C12168	COc1c2c(cc3c1OCO3)[C@@]13CC[NH+](C2)[C@@H]1C[C@@H](O)[C@@H]1O[C@@H]13
C12169	COc1c2c(cc3c1OCO3)[C@@]13CC[NH+](C2)[C@@H]1CC[C@H](OC(C)=O)[C@@H]3O
C12170	O[C@H]1[C@H]2c3cc4c(cc3C[NH+]3CC[C@H](C[C@H]1O)[C@H]23)OCO4
C12171	CC(=O)O[C@H]1[C@H]2c3cc4c(cc3C[NH+]3CC[C@H](C[C@H]1OC(C)=O)[C@H]23)OCO4
C12172	COc1ccc2c3c1O[C@@H]1C[C@H](O)C=C[C@]31[C@@H](O)C[NH+](C)C2
C12173	COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CC[NH2+]C2
C12174	CO[C@@H]1C=C[C@@]23c4cc5c(cc4C(O)[NH+](C[C@@H]2O)[C@H]3C1)OCO5
C12176	CC1=CC=C[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)C=C(C)C(=O)C2C(=O)C(C)C(O)C3=C2C(=O)C=C(NC1=O)C3=O
C12177	CO[C@@H]1/C=C/C=C(\C)Cc2cc(O)cc(c2)NC(=O)C[C@H](O)/C(C)=C/[C@H](C)[C@@H](O)CC1=O
C12178	CO[C@@H]1C=C[C@@]23c4cc5c(cc4C(=O)O[C@H]2C[NH+](C)[C@H]3C1)OCO5
C12179	CO[C@@H]1C=C[C@@]23c4cc5c(cc4CO[C@@]2(O)C[NH+](C)[C@H]3C1)OCO5
C12180	COc1cc2c(cc1O)C[NH+]1CC[C@@]23C=C[C@@H](O)C[C@H]13
C12181	CNc1ccccc1-c1cc2c(cc1CO)OCO2
C12182	c1ccc2c(c1)ncc1cc3c(cc12)OCO3
C12183	CO[C@@H]1C=C[C@@]23c4cc5c(cc4C[NH+](CCc4ccc(O)cc4)[C@@H]2C(=O)N(C)[C@H]3C1)OCO5
C12184	COc1cc2c(cc1OC)[C@@H]1[C@H](O)[C@@H](OC)[C@H](O)C3=CC[NH+](C2)[C@H]31
C12185	O[C@H]1CC=C2[C@H]3C[NH+](Cc4cc5c(cc43)OCO5)[C@H]2[C@@H]1O
C12186	O[C@H]1C=C2[C@H]3C[NH+](Cc4cc5c(cc43)OCO5)[C@H]2C[C@@H]1O
C12187	COc1cc2c(cc1O)[C@@H]1[C@H](O)[C@@H](O)C=C3CC[NH+](C2)[C@H]31
C12188	COc1cc2c[n+]3c4c(cccc4c2cc1OC)CC3
C12189	[O-]c1cc2c3c(c1)c1cc4c(cc1c[n+]3CC2)OCO4
C12190	COc1cc2c(cc1O)C(=O)O[C@@H]1CC=C3CC[NH+](C)[C@H]3[C@H]21
C12191	CO[C@@H]1C=C[C@]23CC[NH+]([C@@H](O)c4cc5c(cc42)OCO5)[C@H]3C1
C12192	CO[C@@H]1C=C[C@@]23CC[NH+]([C@H]2C1)[C@H](O)c1cc2c(cc13)OCO2
C12193	O[C@@H]1C=C[C@]23CC[NH+](Cc4cc5c(cc42)OCO5)[C@H]3C1
C12194	OC1C[NH+]2Cc3cc4c(cc3[C@]13C=C[C@@H](O)C[C@H]23)OCO4
C12195	COc1cc2c(cc1OC)[C@@]13CC[NH+](C2)C1CC[C@@H]1O[C@@H]13
C12196	COc1ccc2c(c1OC)[C@@H](CC(=O)C[C@H]1c3cc4c(cc3-c3ccc5cc6c(cc5c3N1C)OCO6)OCO4)N(C)c1c-2ccc2cc3c(cc12)OCO3
C12197	COc1ccc2c(c1OC)[C@H](CC(=O)C[C@H]1c3cc4c(cc3-c3ccc5cc6c(cc5c3N1C)OCO6)OCO4)N(C)c1c-2ccc2cc3c(cc12)OCO3
C12198	CN1c2c(ccc3cc4c(cc23)OCO4)-c2ccc3c(c2C1CCO)OCO3
C12199	COC1C=Cc2c(ncc3cc4c(cc23)OCO4)C1
C12200	COc1ccc2c(c1OC)C(CC(C)=O)N(C)c1c-2ccc2cc3c(cc12)OCO3
C12201	CC(=O)CC1c2c(ccc3c2OCO3)-c2ccc3cc4c(cc3c2N1C)OCO4
C12202	CC[C@H]1C[C@@H](C)C(=O)/C=C/C=C/C[C@@H](C)OC(=O)C[C@@H](O)[C@H](OC)[C@H]1O
C12203	COc1cc(/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](O)[C@@H]2OP(=O)([O-])[O-])cc(O)c1O
C12204	COc1cc(/C=C/C=O)cc(O)c1O
C12205	COc1cc(/C=C/CO)cc(O)c1O
C12206	OC/C=C/c1ccc(O)c(O)c1
C12208	O=C(/C=C/c1ccc(O)cc1)O[C@@H]1C[C@](O)(C(=O)[O-])C[C@@H](O)[C@H]1O
C12210	O=C1[C@@H](O)[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H]1O
C12211	[NH3+][C@H]1[C@H](O)[C@@H](CO)O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@@H]1O
C12212	[NH3+][C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1O
C12213	[NH3+][C@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])OC(O)[C@@H]1O
C12214	[NH3+][C@H]1[C@H](O)[C@@H](COP(=O)([O-])[O-])OC1(O)CO
C12215	[NH2+]=C[C@H](O)[C@H](O)COP(=O)([O-])[O-]
C12216	CCCCCCCCCCCCCCC/C=C/C(=O)N(O)CCCCC(NC(=O)C1COC(c2ccccc2O)=N1)C(=O)OC(C)CC(=O)NC1CCCCN(O)C1=O
C12217	N#C[Fe](C#N)C#N
C12218	N#C[Fe]C#N
C12219	C[C@H]1OC(=O)[C@@H](NC(=O)CNC(=O)c2cccc(O)c2O)[C@@H](C)OC(=O)[C@@H](NC(=O)CNC(=O)c2cccc(O)c2O)[C@@H](C)OC(=O)[C@H]1NC(=O)CNC(=O)c1cccc(O)c1O
C12220	O=C(NCCCC[C@@H](CO)NC(=O)c1cccc(O)c1O)c1cccc(O)c1O
C12221	[NH3+]C[C@H](CCCCNC(=O)c1cccc(O)c1O)NC(=O)c1cccc(O)c1O
C12222	Cn1c(=O)c2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3
C12223	COc1cc2ccc3c(c2cc1OC)N(C)[C@@H](CC(=O)[O-])c1c-3ccc(OC)c1OC
C12224	COc1cc2ccc3c4ccc(OC)c(OC)c4c(=O)n(C)c3c2cc1OC
C12225	COc1ccc2c(c1OC)c(=O)n(C)c1c3cc4c(cc3ccc21)OCO4
C12226	COc1ccc2c(cnc3c4cc5c(cc4ccc23)OCO5)c1OC
C12227	COc1ccc2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
C12228	COc1cc2ccc3c4c(OC)cc(OC)c(OC)c4c[n+](C)c3c2cc1OC
C12229	COc1cc(OC)c2c(c[n+](C)c3c4cc5c(cc4ccc23)OCO5)c1OC
C12230	COc1cc2ccc3c4c(OC)cc5c(c4c[n+](C)c3c2cc1OC)OCO5
C12231	COc1cc2c(c(O)c1OC)C[NH2+]CC2
C12232	C[NH+]1CC[C@@]23C=C[C@H](O)C[C@@H]2Oc2c(O)ccc(c23)C1
C12233	COc1ccc2c3c1O[C@H]1C[C@@H](O)CC[C@@]31CC[NH+](C)C2
C12234	COc1ccc2c3c1O[C@H]1C[C@H](O)CC[C@@]31CC[NH2+]C2
C12235	COc1cc2c(cc1OC)-c1cccc3c1N(CC3)C2
C12236	COc1cc2c(=O)n3c4c(cccc4c2cc1OC)CC3
C12237	COc1cc2c(cc1O)[C@@H]1[C@H](O)[C@@H](OC(C)=O)C=C3CC[NH+](C2)[C@H]31
C12238	COc1cc2c(cc1OC)[C@@]13C=C[C@@H](OC)CC1[NH+](CC3)C2O
C12239	COc1cc2c(cc1O)[C@@H]1[C@H](OC2=O)[C@@H](O)C=C2CC[NH+](C)[C@H]21
