2-R-HYDROXYPROPYL-COM	QWNJCCLFGYAGRK-RXMQYKEDSA-M
2-S-HYDROXYPROPYL-COM	QWNJCCLFGYAGRK-YFKPBYRVSA-M
2-THIOURIDINE	GJTBSTBJLVYKAU-XVFCMESISA-N
2-TRANS6-TRANS-FARNESAL	YHRUHBBTQZKMEX-YFVJMOTDSA-N
2-TRANS6-TRANS-FARNESOL	CRDAMVZIKSXKFV-YFVJMOTDSA-N
2-UNDECANONE	KYWIYKKSMDLRDC-UHFFFAOYSA-N
2-UREIDO-PROPIONATE	LUSWEUMSEVLFEQ-UHFFFAOYSA-M
2-hydroxy-4-1H-quinolone	HDHQZCHIXUUSMK-UHFFFAOYSA-N
20-HYDROXY-3-OXOPREGN-4-EN-21-AL	HIXLXYQKUSOMDM-FYGMKCHKSA-N
20-HYDROXY-LEUKOTRIENE-E4	BJRMBXPQAMDCMG-CMJQBAFXSA-M
20-OH-LTB4	PTJFJXLGRSTECQ-PSPARDEHSA-M
20A-20B-DIHYDROXY-CHOLESTEROL	ISBSSBGEYIBVTO-TYKWNDPBSA-N
20S22S25S-2225-EPOXYFUROST-ETC-GLUCOSIDE	QJEQHVALLZCTGC-HPNIRRCESA-N
20S22S25S-2225-EPOXYFUROST	NELZMZLNTYWIPD-MLBSDYKWSA-N
23-DIHYDROGOSSYPETIN	ZHPLPRUARZZBET-UHFFFAOYSA-N
