rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	grade_GC	dg_EQ	grade_EQ	dg_DGPMS	grade_DGPMS	dg_TECRDB	grade_TECRDB	best_grade	best_source
rxn00072	NADH:cob(III)alamine oxidoreductase	1.16.1.3	OK	0	1		False					63.1400	BRONZE			BRONZE	DGPMS
rxn00073	rxn00073		MI:H:6/R:2|CI:4	0	0		False										
rxn00074	cob(I)alamin:NAD+ oxidoreductase	1.16.1.4	OK	0	1		False					14.3700	GOLD			GOLD	DGPMS
rxn00075	NAD nucleosidase, mitochondrial	3.2.2.5;3.2.2.6	OK	0	3	1.0711	False	-3.6400	SILVER	-8.3880	SILVER	16.2300	BRONZE			SILVER	GC
rxn00076	NAD+ phosphohydrolase	3.6.1.22;3.6.1.9	OK	0	3	3.3891	False	-28.3100	BRONZE	-8.0050	SILVER	-10.3900	SILVER			SILVER	EQ
rxn00077	ATP:NAD+ 2'-phosphotransferase	2.7.1.23	OK	0	3	2.0178	False	-14.0000	BRONZE	-2.3950	GOLD	-2.0500	GOLD	-2.0347	GOLD	GOLD	TECRDB
rxn00078	ATP:NADH 2'-phosphotransferase	2.7.1.86	OK	0	3	2.0150	False	-14.0000	BRONZE	-2.4020	SILVER	-2.0500	SILVER			SILVER	EQ
rxn00079	NADPH:ferricytochrome oxidoreductase	1.6.2.4	OK	0	0		False										
rxn00080	cob(II)alamin:NADP+ oxidoreductase	1.16.1.5	OK	0	1		False					-63.1400	BRONZE			BRONZE	DGPMS
rxn00081	rxn00081		MI:H:-6/R:-2|CI:-4	0	0		False										
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase	1.14.13.39	CI:4	0	1		False					-47.3500	BRONZE			BRONZE	DGPMS
rxn00083	NADPH:NAD+ oxidoreductase	1.6.1.1;1.6.1.2;1.6.1.3	OK	0	2	0.0015	True	0.0000	GOLD	0.0060	GOLD			-0.4864	GOLD	GOLD	TECRDB
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	1.11.1.2	OK	0	3	1.6468	False	-77.0900	BRONZE	-76.2740	BRONZE	-68.5900	BRONZE			BRONZE	GC
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	1.4.1.13	OK	0	3	0.3369	False	13.4400	SILVER	11.8340	GOLD	11.5900	SILVER			GOLD	EQ
rxn00086	glutathione:NADP+ oxidoreductase	1.6.4.2;1.8.1.7	CI:-2	0	3	1.8092	False	-4.9400	BRONZE	0.9880	SILVER	3.2200	GOLD	2.8389	GOLD	GOLD	TECRDB
rxn00087	NADPH:CoA-glutathione oxidoreductase	1.8.1.10	CI:-2	0	3	0.5676	False	-4.9400	SILVER	-4.6950	SILVER	-1.9100	SILVER			SILVER	GC
rxn00088	NADP+ 2'-phosphohydrolase	3.1.3.-;3.1.3.2	OK	0	3	2.1646	False	7.2200	BRONZE	-3.6960	SILVER	-5.0200	SILVER			SILVER	EQ
rxn00089	NADP+ glycohydrolase	3.2.2.5;3.2.2.6	OK	0	3	1.2984	False	-3.6400	SILVER	-8.4780	SILVER	24.4900	BRONZE			SILVER	GC
rxn00090	glutathione:oxygen oxidoreductase	1.8.3.3	CI:-2	0	3	1.2964	False	-36.6800	BRONZE	-30.2870	SILVER	-27.5400	BRONZE			SILVER	EQ
rxn00091	rxn00091	1.13.99.-	CI:-2	0	2	1.0125	False			-71.2390	SILVER	-75.0600	SILVER			SILVER	EQ
rxn00092	ADP phosphohydrolase	3.6.1.5	OK	0	3	1.9056	False	-16.2800	BRONZE	-6.0310	GOLD	-6.6700	GOLD			GOLD	EQ
rxn00093	ADP aminohydrolase	3.5.4.17;3.5.4.7	OK	0	3	1.6551	False	-8.5100	BRONZE	-12.0560	BRONZE	-5.9400	SILVER			SILVER	DGPMS
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	3.6.1.41	OK	0	3	0.1290	False	-9.3100	SILVER	-9.6950	SILVER	-6.9000	SILVER			SILVER	GC
rxn00096	ADP:ATP adenylyltransferase	2.7.7.53	OK	0	3	0.2187	False	2.5300	SILVER	3.6030	SILVER	-0.1700	SILVER			SILVER	GC
rxn00097	ATP:AMP phosphotransferase	2.7.4.3	OK	0	3	1.7616	False	9.5000	BRONZE	-0.0600	GOLD	-0.3900	GOLD	-0.3628	GOLD	GOLD	TECRDB
rxn00098	Adenosine-tetraphosphate phosphohydrolase	3.6.1.14	OK	0	3	0.2642	False	-6.7800	SILVER	-8.0380	SILVER	-8.2500	SILVER			SILVER	GC
