rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	dg_EQ	dg_DGP	dg_openTECR	best_grade	best_source
rxn00134	ATP:adenosine 5'-phosphotransferase	2.7.1.20;2.7.1.74	OK	0	3	1.9863724448296098	False	-14.0	-2.77	-3.79		GOLD	DGP
rxn00135	(S)-Lactate adenylohydrolase	3.6.1.29	OK	0	1		False			-29.89		BRONZE	DGP
rxn00136	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	3.6.1.29	OK	0	2	0.8979599268854241	False	-18.81		-9.82		SILVER	DGP
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	3.1.3.7	OK	0	3	2.7502062188715963	False	7.22	0.42	-6.72		SILVER	DGP
rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	6.3.1.5;6.3.5.1	OK	0	3	3.497425817508993	False	-22.52	-2.9	-18.02		SILVER	EQ
rxn00139	AMP:diphosphate phospho-D-ribosyltransferase	2.4.2.7;2.4.2.8	OK	0	3	1.4190086641398967	False	12.51	4.54	4.59	3.4156309751434035	GOLD	openTECR
rxn00140	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	3.1.4.17;3.1.4.53	OK	0	3	2.2690995962889393	False	-18.79	-9.04	-12.0		SILVER	EQ
rxn00141	S-Adenosyl-L-homocysteine hydrolase	3.3.1.1	OK	0	3	0.4672802444560118	False	5.68	8.3	8.32	8.307600382409177	GOLD	openTECR
rxn00142	S-Adenosyl-L-homocysteine aminohydrolase	3.5.4.28	OK	0	3	1.163783694754687	False	-8.51	-5.69	-4.04		GOLD	DGP
rxn00143	S-Adenosyl-L-homocysteine homocysteinylribohydrolase	3.2.2.9	OK	0	3	1.2803972323214756	False	-0.73	-1.62	-4.18		SILVER	EQ
rxn00144	2,3-diaminopropanoate ammonia-lyase (adding water; pyruvate-forming)	4.3.1.15	OK	0	3	1.4559900428879655	False	-3.83	1.18	6.18		SILVER	EQ
rxn00145	(S)-Lactate:ferricytochrome-c 2-oxidoreductase	1.1.2.3	OK	0	0		False						
rxn00146	(R)-Lactate:ferricytochrome-c 2-oxidoreductase	1.1.2.4	OK	0	0		False						
rxn00147	ATP:pyruvate,water phosphotransferase	2.7.9.2	OK	0	3	3.8000214276353383	False	-21.17	0.22	-1.01	-2.5372848948374758	GOLD	openTECR
rxn00148	ATP:pyruvate 2-O-phosphotransferase	2.7.1.40	OK	0	3	2.0285798004843993	False	-4.89	6.47	5.66	4.702915869980879	GOLD	openTECR
rxn00149	pyruvaldehyde:NAD+ oxidoreductase	1.2.1.22;1.2.1.23;1.2.1.3	OK	0	3	0.30671162172681876	False	-9.74	-8.01	-8.58		SILVER	EQ
rxn00150	2-Oxopropanal:NADP+ oxidoreductase	1.2.1.49	OK	0	3	0.3048587690299378	False	-9.74	-8.02	-8.58		SILVER	EQ
rxn00151	ATP:pyruvate,phosphate phosphotransferase	2.7.9.1	OK	0	3	5.250768977453977	False	-25.35	4.25	2.77	3.872609942638623	GOLD	openTECR
rxn00152	Pyruvate:oxygen 2-oxidoreductase (phosphorylating)	1.2.3.3	OK	0	3	1.7825181258068312	False	-45.72	-37.9	-39.03		SILVER	EQ
rxn00153	Phosphoenolpyruvate phosphohydrolase	3.1.3.60	OK	0	3	3.781132895225444	False	-1.89	-12.77	-12.73		GOLD	DGP
