CHEBI_133396	UQOQENZZLBSFKO-POPPZSFYSA-M
CHEBI_133408	CDUVSQMTLOYKTR-ZHALLVOQSA-M
CHEBI_133409	LOLJEILMPWPILA-AMFHKTBMSA-M
CHEBI_133411	FVPKMMQYALWZHV-AKHDSKFASA-M
CHEBI_133419	BNEBXEZRBLYBCZ-UHFFFAOYSA-N
CHEBI_133424	TUXFWOHFPFBNEJ-GJGHEGAFSA-M
CHEBI_133455	MMFCJPPRCYDLLZ-CMDGGOBGSA-N
CHEBI_133456	WKQNRCYKYCKESD-YVHLTTHBSA-N
CHEBI_133457	HDKLIZDXVUCLHQ-BQYQJAHWSA-N
CHEBI_133482	VAFNMNRKDDAKRM-NSHDSACASA-L
CHEBI_133491	WZXSCLOEBAZOTJ-ATDYAINCSA-L
CHEBI_133497	UZRMQJKPFRLIDG-UHFFFAOYSA-L
CHEBI_133499	FCGNCJNTFRMBQY-PLNGDYQASA-L
CHEBI_133500	RQAOZCCKOFEXBK-WAYWQWQTSA-L
CHEBI_133501	SQXVIIOPMYSNCP-UHFFFAOYSA-L
CHEBI_133514	JKRDADVRIYVCCY-UHFFFAOYSA-M
CHEBI_133519	ZJYZOWMDMWQJIV-WWLGJQRMSA-M
CHEBI_133524	NZKRYJGNYPYXJZ-UHFFFAOYSA-N
CHEBI_133529	DEKNNWJXAQTLFA-UHFFFAOYSA-N
CHEBI_133577	LVRFTAZAXQPQHI-UHFFFAOYSA-M
CHEBI_133598	CYDMQBQPVICBEU-XRNKAMNCSA-M
CHEBI_133603	XNEFVTBPCXGIRX-UHFFFAOYSA-M
CHEBI_133606	KRTOMQDUKGRFDJ-ZAHDIIMDSA-M
CHEBI_133618	PYSODLWHFWCFLV-VJBFNVCUSA-L
CHEBI_133661	DKPMWHFRUGMUKF-KWXDGCAGSA-M
CHEBI_133673	XDDAORKBJWWYJS-UHFFFAOYSA-M
CHEBI_133674	MGRVRXRGTBOSHW-UHFFFAOYSA-M
CHEBI_133681	DWZGLEPNCRFCEP-UHFFFAOYSA-M
CHEBI_133696	IIHPMGDKNZPGON-QYAMTVPHSA-N
CHEBI_133697	INUFQOJZVFLXMQ-OWYOPICZSA-N
CHEBI_133723	JNLWKNHLUVQHPV-UHFFFAOYSA-N
CHEBI_133732	DBHKHNGBVGWQJE-USWSLJGRSA-N
CHEBI_133738	NYHNVHGFPZAZGA-UHFFFAOYSA-M
CHEBI_133741	SSNZFFBDIMUILS-ZHACJKMWSA-N
CHEBI_133743	CWLQUGTUXBXTLF-YFKPBYRVSA-N
