cpd11465	C15H25N2O8PRS	C4H5ORS
cpd11466	C25H47N2O8PRS	C14H27ORS
cpd11467	C25H45N2O8PRS	C14H25ORS
cpd11468	C23H43N2O8PRS	C12H23ORS
cpd11469	C23H41N2O8PRS	C12H21ORS
cpd11470	C19H35N2O8PRS	C8H15ORS
cpd11471	C19H33N2O8PRS	C8H13ORS
cpd11472	C17H31N2O8PRS	C6H11ORS
cpd11473	C17H29N2O8PRS	C6H9ORS
cpd11474	C21H39N2O8PRS	C10H19ORS
cpd11475	C21H37N2O8PRS	C10H17ORS
cpd11476	C27H51N2O8PRS	C16H31ORS
cpd11477	C27H49N2O8PRS	C16H29ORS
cpd11478	C15H27N2O9PRS	C4H7O2RS
cpd11479	C17H31N2O9PRS	C6H11O2RS
cpd11480	C23H43N2O9PRS	C12H23O2RS
cpd11481	C27H51N2O9PRS	C16H31O2RS
cpd11482	C21H39N2O9PRS	C10H19O2RS
cpd11483	C19H35N2O9PRS	C8H15O2RS
cpd11484	C25H47N2O9PRS	C14H27O2RS
cpd11485	C27H49N2O9PRS	C16H29O2RS
cpd11486	C17H29N2O9PRS	C6H9O2RS
cpd11487	C21H37N2O9PRS	C10H17O2RS
cpd11488	C15H25N2O9PRS	C4H5O2RS
cpd11489	C23H41N2O9PRS	C12H21O2RS
cpd11490	C19H33N2O9PRS	C8H13O2RS
cpd11491	C25H45N2O9PRS	C14H25O2RS
cpd11492	C14H22N2O10PRS	C3H3O3RS
cpd11493	C11H21N2O7PRS	HRS
cpd11494	C13H23N2O8PRS	C2H3ORS
cpd11574	H2MoO4	Mo.H2O2.O2
cpd11576	C5H11NO3S	unknown
cpd11581	C6H11N3O4	unknown
cpd11582	C7H14N2O4	unknown
cpd11586	C8H13N2O5	unknown
cpd11588	C7H12N2O3	unknown
cpd11590	C8H15N2O3S	unknown
cpd11592	C7H11N2O5	unknown
cpd11594	C36H62O31	(C12H20O10)n
cpd11595	H2O4Cr	Cr.H2O2.O2
