cpd11741	C18H38N3O13	C12H24N2O9(C6H11NO4)n
cpd12893		noformula
cpd12720		noformula
cpd07684	C27H41NO2	C27H42NO2
cpd02884	C10H14N4O9P	C10H13N4O9P
cpd07682	C45H73NO14	C45H74NO14
cpd09750	Na	C23H21N2NaO6S
cpd08993	C6H14NO8P	C6H13NO8P
cpd09751	C24H23N3O6S	C24H24ClN3O6S
cpd17557	C20H21NO4	C20H22NO4
cpd05209	C6H7NO6	C6H8NO6
cpd07689	C50H83NO20	C50H84NO20
cpd16510	C16H17NO3	C16H18NO3
cpd17957	C13H27N3O8	C13H30N3O8
cpd17956	C12H24N2O9	C12H26N2O9
cpd00818	C6H12O9P	C6H11O9P
cpd17954	C25H46N8O10	C25H48N8O10
cpd17953	C14H25N3O9	C14H26N3O9
cpd17952	C8H16N4O6	C8H17N4O6
cpd09949	C16H14O2Cl2	C16H14Cl2O2
cpd07119	C41H28O27	C41H27O27
cpd00812	C6H11O7P	C6H10O7P
cpd12462		noformula
cpd00810	C10H11N2O11P	C10H10N2O11P
cpd00817	C5H10O8P	C5H9O8P
cpd17959	C14H30N4O7	C14H34N4O7
cpd17958	C13H28N4O7	C13H32N4O7
cpd12095		noformula
cpd12099	C21H33O18P2R3	C16H27O13PR2(C5H8O5PR)n
cpd02094	C18H40N4O14P	C18H39N4O14P
cpd15972	C43H69N5O10	C47H77N5O10
cpd15607	C34H28FeN4O10	C34H32FeN4O6
cpd02097	C5H9NO7P	C5H8NO7P
cpd12657	C25H36N7O17P3RS	C25H39N7O17P3RS
cpd07653	C24H32N4O2	C24H34N4O2
cpd12655	C25H36N7O17P3RS	C25H39N7O17P3RS
cpd02541	C5H10N2O7P	C5H9N2O7P
cpd11615	C15H23O16P2R3	C10H17O10PR2(C5H8O6PR)n
cpd12759	C5H7NO3*2	(C5H7NO3)n
cpd02549	C3H10NO4P	C3H9NO4P
cpd14556	C58H42N7O18R3Cl2	C58H42Cl2N7O18R6
cpd14557		C39H61NO14
cpd14554		C18H28O4
cpd14555	Na	C56H70N9NaO23S
cpd14553	C40H44FeN6O8S2	C40H44N6O8S2.Fe
cpd14550		noformula
cpd14551		noformula
cpd12071	CH6N2	H4N2(CH2)n
cpd12070	C6H9O7*	(C6H8O6)n
cpd18039	C15H19N3O2	C15H20N3O2
cpd12076	C10H14N3O6RS	C10H16N3O6RS
cpd14558		C37H57NO14
cpd14559		C27H41NO6
cpd16774		unknown
cpd16775		unknown
cpd16776		unknown
cpd16777		unknown
cpd16770		unknown
cpd16771		unknown
cpd16772		unknown
cpd16773		unknown
cpd16778		unknown
cpd16779		unknown
cpd15183	C7H6O4F	C7H6FO4
