ID	AraCyc	EcoCyc	KEGG	MetaCyc	PlantCyc
rxn00128	Biosynthesis|ETHYL-PWY|Ethylene-Biosynthesis|HORMONE-SYN|Plant-Hormone-Biosynthesis	null	rn00270	Biosynthesis|ETHYL-PWY|Ethylene-Biosynthesis|HORMONE-SYN|Plant-Hormone-Biosynthesis	Amino-Acid-Biosynthesis|Biosynthesis|ETHYL-PWY|Ethylene-Biosynthesis|HORMONE-SYN|IND-AMINO-ACID-SYN|METHIONINE-SYN|PWY-4361-ARA|Plant-Hormone-Biosynthesis
rxn00130	AROMATIC-COMPOUNDS-DEGRADATION|Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|P165-PWY|PWY-5044|PWY-6596|Purine-Degradation|Urate-Degradation	null	rn00230	AROMATIC-COMPOUNDS-DEGRADATION|Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|P165-PWY|PWY-5044|PWY-6596|Purine-Degradation|Urate-Degradation	AROMATIC-COMPOUNDS-DEGRADATION|Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|P165-PWY|PWY-5044|PWY-6596|Purine-Degradation|Urate-Degradation
rxn00131	null	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|PWY-6617|Purine-Degradation	rn00230	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|PWY-6617|Purine-Degradation	null
rxn00132	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|Purine-Degradation|SALVADEHYPOX-PWY	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|Purine-Degradation|SALVADEHYPOX-PWY	rn00230	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|PWY-6353|Purine-Degradation|SALVADEHYPOX-PWY	Adenosine-Nucleotides-Degradation|Degradation|NUCLEO-DEG|Purine-Degradation|SALVADEHYPOX-PWY
rxn00133	null	null	rn00230	null	null
rxn00134	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6619|Purine-Nucleotides-Salvage	null	rn00230	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6619|Purine-Nucleotides-Salvage	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6619|Purine-Nucleotides-Salvage
rxn00136	null	null	rn00230	null	null
rxn00138	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PYRIDNUCSYN-PWY	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY0-781|PYRIDNUCSYN-PWY	rn00760	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PWY0-781|PYRIDNUCSYN-PWY	Biosynthesis|Cofactor-Biosynthesis|NAD-Metabolism|NAD-SYN|PYRIDNUCSYN-PWY
rxn00139	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6605|Purine-Nucleotides-Salvage	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-6605|Purine-Nucleotides-Salvage	rn00230	Adenine-Adenosine-Salvage|Biosynthesis|Metabolic-Clusters|Nucleotide-Biosynthesis|P1-PWY|P121-PWY|PUR-NUC-SYN|PWY-5043|PWY-6605|PWY-6610|PYR-NUC-SYN|Purine-Nucleotides-Salvage	Adenine-Adenosine-Salvage|Biosynthesis|Nucleotide-Biosynthesis|PUR-NUC-SYN|PWY-5043|PWY-6605|Purine-Nucleotides-Salvage
rxn00140	null	null	rn00230	null	null
rxn00141	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|METHIONINE-DEG|METHIONINE-DEG1-PWY|METHIONINE-SYN|PWY-5041|S-adenosyl-L-methionine-cycle	null	rn00270	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|CYSTEINE-SYN|Degradation|IND-AMINO-ACID-SYN|METHIONINE-DEG|METHIONINE-DEG1-PWY|METHIONINE-SYN|PWY-5041|PWY-5328|PWY-6292|S-adenosyl-L-methionine-cycle	Amino-Acid-Biosynthesis|Amino-Acid-Degradation|Biosynthesis|Degradation|IND-AMINO-ACID-SYN|METHIONINE-DEG|METHIONINE-DEG1-PWY|METHIONINE-SYN|PWY-5041|S-adenosyl-L-methionine-cycle
rxn00143	null	Amino-Acid-Biosynthesis|Autoinducer-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Other-biosynthesis|PWY-6151|PWY-6153|S-adenosyl-L-methionine-cycle	rn00270	Amino-Acid-Biosynthesis|Autoinducer-Biosynthesis|Biosynthesis|IND-AMINO-ACID-SYN|METHIONINE-SYN|Other-biosynthesis|PWY-6151|PWY-6153|PWY-6154|S-adenosyl-L-methionine-cycle	null
rxn00145	null	null	rn00620	null	null
rxn00146	null	null	rn00620	null	null
