id	formula_src	charge_src	inchikey_src	smiles_src	pka_src	pkb_src	deltag_method	deltag_used_src	deltag_gc_src	deltag_eq_src
cpd37829	ChEBI:138216	ChEBI:138216	ChEBI:138216	ChEBI:138216						
cpd37830	ChEBI:138217	ChEBI:138217	ChEBI:138217	ChEBI:138217						
cpd37831	ChEBI:138218	ChEBI:138218	ChEBI:138218	ChEBI:138218						
cpd37832	ChEBI:138219	ChEBI:138219	ChEBI:138219	ChEBI:138219						
cpd37833	ChEBI:138220	ChEBI:138220	ChEBI:138220	ChEBI:138220						
cpd37834	ChEBI:138222	ChEBI:138222	ChEBI:138222	ChEBI:138222						
cpd37835	ChEBI:138223@Charged	ChEBI:138223@Charged	ChEBI:138223@Charged	ChEBI:138223@Charged						
cpd37836	ChEBI:138224	ChEBI:138224	ChEBI:138224	ChEBI:138224						
cpd37837	ChEBI:138232@Charged	ChEBI:138232@Charged	ChEBI:138232@Charged	ChEBI:138232@Charged						
cpd37838	ChEBI:138233	ChEBI:138233	ChEBI:138233	ChEBI:138233						
cpd37839	ChEBI:138234	ChEBI:138234	ChEBI:138234	ChEBI:138234						
cpd37840	ChEBI:138238@Charged	ChEBI:138238@Charged		ChEBI:138238@Charged						
cpd37841	ChEBI:138251	ChEBI:138251	ChEBI:138251	ChEBI:138251						
cpd37842	ChEBI:138266	ChEBI:138266	ChEBI:138266	ChEBI:138266						
cpd37843	ChEBI:138267	ChEBI:138267		ChEBI:138267						
cpd37844	ChEBI:138268	ChEBI:138268	ChEBI:138268	ChEBI:138268						
cpd37845	ChEBI:138269	ChEBI:138269	ChEBI:138269	ChEBI:138269						
cpd37846	ChEBI:138276@Charged	ChEBI:138276@Charged		ChEBI:138276@Charged						
cpd37847	ChEBI:138278@Charged	ChEBI:138278@Charged		ChEBI:138278@Charged						
cpd37848	ChEBI:138280	ChEBI:138280		ChEBI:138280						
cpd37849	ChEBI:138282	ChEBI:138282		ChEBI:138282						
cpd37850	ChEBI:138284	ChEBI:138284		ChEBI:138284						
cpd37851	ChEBI:138286	ChEBI:138286		ChEBI:138286						
cpd37852	ChEBI:138288@Charged	ChEBI:138288@Charged		ChEBI:138288@Charged						
cpd37853	ChEBI:138290	ChEBI:138290	ChEBI:138290	ChEBI:138290						
cpd37854	ChEBI:138292	ChEBI:138292	ChEBI:138292	ChEBI:138292						
cpd37855	ChEBI:138296	ChEBI:138296	ChEBI:138296	ChEBI:138296						
cpd37856	ChEBI:138297	ChEBI:138297	ChEBI:138297	ChEBI:138297						
cpd37857	ChEBI:138298	ChEBI:138298	ChEBI:138298	ChEBI:138298						
cpd37858	ChEBI:138299	ChEBI:138299	ChEBI:138299	ChEBI:138299						
cpd37859	ChEBI:138300	ChEBI:138300	ChEBI:138300	ChEBI:138300						
cpd37860	ChEBI:138315	ChEBI:138315		ChEBI:138315						
cpd37861	ChEBI:138316@Charged	ChEBI:138316@Charged		ChEBI:138316@Charged						
cpd37862	ChEBI:138317	ChEBI:138317		ChEBI:138317						
cpd37863	ChEBI:138322	ChEBI:138322	ChEBI:138322	ChEBI:138322						
cpd37864	ChEBI:138323	ChEBI:138323	ChEBI:138323	ChEBI:138323						
cpd37865	ChEBI:138324	ChEBI:138324	ChEBI:138324	ChEBI:138324						
cpd37866	ChEBI:138334@Charged	ChEBI:138334@Charged		ChEBI:138334@Charged						
cpd37867	ChEBI:138373	ChEBI:138373	ChEBI:138373	ChEBI:138373						
cpd37868	ChEBI:138375	ChEBI:138375	ChEBI:138375	ChEBI:138375						
cpd37869	ChEBI:138385@Charged	ChEBI:138385@Charged		ChEBI:138385@Charged						
cpd37870	ChEBI:138396	ChEBI:138396	ChEBI:138396	ChEBI:138396						
cpd37871	ChEBI:138398	ChEBI:138398	ChEBI:138398	ChEBI:138398						
cpd37872	ChEBI:138404	ChEBI:138404	ChEBI:138404	ChEBI:138404						
cpd37873	ChEBI:138430	ChEBI:138430	ChEBI:138430	ChEBI:138430						
cpd37874	MetaCyc:CPD-24828;ChEBI:138432	MetaCyc:CPD-24828;ChEBI:138432	MetaCyc:CPD-24828;ChEBI:138432	MetaCyc:CPD-24828;ChEBI:138432	MetaCyc:CPD-24828	MetaCyc:CPD-24828				
cpd37875	ChEBI:138433	ChEBI:138433	ChEBI:138433	ChEBI:138433						
cpd37876	ChEBI:138437	ChEBI:138437	ChEBI:138437	ChEBI:138437						
cpd37877	ChEBI:138442@Charged	ChEBI:138442@Charged		ChEBI:138442@Charged						
cpd37878	ChEBI:138443@Charged	ChEBI:138443@Charged		ChEBI:138443@Charged						
cpd37879	ChEBI:138461	ChEBI:138461	ChEBI:138461	ChEBI:138461						
cpd37880	ChEBI:138473	ChEBI:138473		ChEBI:138473						
cpd37881	ChEBI:138478	ChEBI:138478		ChEBI:138478						
cpd37882	ChEBI:138480	ChEBI:138480		ChEBI:138480						
