seed_id	reactions_blocked
cpd48578	2
cpd48912	2
cpd48441	2
cpd48624	2
cpd44772	2
cpd48474	2
cpd48468	2
cpd48791	2
cpd48859	2
cpd48473	2
cpd48920	2
cpd48587	2
cpd48826	2
cpd48786	2
cpd46795	2
cpd48466	2
cpd48472	2
cpd48625	2
cpd46442	2
cpd48504	2
cpd48465	2
cpd48510	2
cpd48553	2
cpd48827	2
cpd36564	2
cpd48449	2
cpd48590	2
cpd48906	2
cpd48850	2
cpd48464	2
cpd48526	2
cpd48665	2
cpd48956	2
cpd48917	2
cpd48884	2
cpd48586	2
cpd48963	2
cpd43643	2
cpd48463	2
cpd48834	2
cpd48763	2
cpd48656	2
cpd48416	2
cpd48716	2
cpd48565	2
cpd48996	2
cpd48909	2
cpd48664	2
cpd48913	2
cpd48477	2
cpd48475	2
cpd48915	2
cpd46550	2
cpd49009	2
cpd48469	2
cpd47881	2
cpd48712	2
cpd38935	2
cpd48814	2
cpd49003	2
cpd48725	2
cpd48505	2
cpd48503	2
cpd48720	2
cpd48467	2
cpd48770	2
cpd46774	2
cpd48489	2
cpd48684	2
cpd48585	2
cpd46804	2
cpd48933	2
cpd48914	2
cpd38716	2
cpd47807	2
cpd49014	2
cpd48825	2
cpd47067	2
cpd48511	2
cpd48478	2
cpd48462	2
cpd47916	2
cpd48668	2
cpd46906	2
cpd48916	2
cpd49017	2
cpd43822	2
cpd48806	2
cpd48669	2
cpd48796	2
cpd48677	2
cpd48589	2
cpd43638	2
cpd48832	2
cpd45396	2
cpd44872	2
cpd45121	2
cpd45737	2
cpd48447	2
cpd45351	2
cpd48104	2
cpd38871	2
cpd48672	2
cpd46499	2
cpd49018	2
cpd49013	2
cpd48833	2
cpd39128	2
cpd46591	2
cpd48595	2
cpd44786	2
cpd48740	2
cpd46972	2
cpd46384	2
cpd43621	2
cpd48772	2
cpd46511	2
cpd48295	2
cpd47898	2
cpd44320	2
cpd45937	2
cpd46429	2
cpd48445	2
cpd46604	2
cpd47245	2
cpd45754	2
cpd45950	2
cpd46551	2
cpd38811	2
cpd37418	2
cpd48985	2
cpd48949	2
cpd44073	2
cpd45940	2
cpd38308	2
cpd43611	2
cpd46237	2
cpd44889	2
cpd45223	2
cpd46154	2
cpd38446	2
cpd48307	2
cpd45935	2
cpd46540	2
cpd48317	2
cpd47005	2
cpd48881	2
cpd45939	2
cpd47224	2
cpd46792	2
cpd45909	2
cpd46152	2
cpd46808	2
cpd44507	2
cpd46186	2
cpd47299	2
cpd45350	2
cpd46772	2
cpd44059	2
cpd43620	2
cpd46843	2
cpd48076	2
cpd46957	2
cpd46636	2
cpd39695	2
cpd48255	2
cpd46458	2
cpd48487	2
cpd43660	2
cpd46840	2
cpd45948	2
cpd44709	2
cpd45389	2
cpd45814	2
cpd45097	2
cpd47038	2
cpd46800	2
cpd46958	2
cpd45343	2
cpd45610	2
cpd45739	2
cpd43555	2
cpd48341	2
cpd44058	2
cpd46589	2
cpd31005	1
cpd31063	1
cpd31064	1
cpd31065	1
cpd31066	1
cpd31067	1
cpd31068	1
cpd31085	1
cpd31106	1
cpd31105	1
cpd31110	1
cpd31111	1
cpd31113	1
cpd31115	1
cpd31121	1
cpd31122	1
cpd31173	1
cpd31184	1
cpd31182	1
cpd31202	1
cpd31256	1
cpd31261	1
cpd31296	1
cpd31305	1
cpd31307	1
cpd31309	1
cpd31322	1
cpd31323	1
cpd31326	1
cpd31327	1
cpd31329	1
cpd31330	1
cpd31214	1
cpd31353	1
cpd31355	1
cpd31363	1
cpd31369	1
cpd37029	1
cpd36216	1
cpd36196	1
cpd32317	1
cpd36189	1
cpd36772	1
cpd37232	1
cpd36875	1
cpd36587	1
cpd32332	1
cpd32971	1
cpd37160	1
cpd36836	1
cpd36928	1
cpd37165	1
cpd33769	1
cpd36756	1
cpd36345	1
cpd36785	1
cpd31503	1
cpd34983	1
cpd32178	1
cpd37257	1
cpd36558	1
cpd32061	1
cpd36726	1
cpd34800	1
cpd37174	1
cpd32965	1
cpd31911	1
cpd33335	1
cpd36479	1
cpd31453	1
cpd37106	1
cpd34501	1
cpd36194	1
cpd31984	1
cpd36156	1
cpd36199	1
cpd34737	1
cpd31799	1
cpd35424	1
cpd36527	1
cpd36243	1
cpd36954	1
cpd36957	1
cpd36287	1
cpd36864	1
cpd35907	1
cpd33914	1
cpd36823	1
cpd34909	1
cpd36848	1
cpd36378	1
cpd36761	1
cpd35077	1
cpd36741	1
cpd35427	1
cpd36406	1
cpd37136	1
cpd36939	1
cpd33172	1
cpd36470	1
cpd37265	1
cpd34051	1
cpd36961	1
cpd36802	1
cpd36448	1
cpd32213	1
cpd36570	1
cpd37246	1
cpd36407	1
cpd37018	1
cpd36486	1
cpd36239	1
cpd36661	1
cpd36059	1
cpd36114	1
cpd36245	1
cpd36437	1
cpd37024	1
cpd36630	1
cpd36169	1
cpd35570	1
cpd35299	1
cpd36466	1
cpd36252	1
cpd36627	1
cpd33826	1
cpd36225	1
cpd33137	1
cpd36736	1
cpd37082	1
cpd36637	1
cpd32018	1
cpd36404	1
cpd36943	1
cpd36052	1
cpd35318	1
cpd36179	1
cpd34042	1
cpd37133	1
cpd36431	1
cpd35602	1
cpd36700	1
cpd36690	1
cpd36115	1
cpd33062	1
cpd36120	1
cpd37012	1
cpd37102	1
cpd36664	1
cpd36793	1
cpd36529	1
cpd33927	1
cpd36926	1
cpd36914	1
cpd36803	1
cpd34840	1
cpd37138	1
cpd36311	1
cpd36455	1
cpd33697	1
cpd36514	1
cpd35114	1
cpd36942	1
cpd36938	1
cpd33106	1
cpd36967	1
cpd36826	1
cpd36705	1
cpd31948	1
cpd34779	1
cpd36983	1
cpd36302	1
cpd37141	1
cpd36419	1
cpd36203	1
cpd35988	1
cpd36657	1
cpd31806	1
cpd37252	1
cpd32423	1
cpd36553	1
cpd36614	1
cpd36556	1
cpd36341	1
cpd36220	1
cpd37101	1
cpd36139	1
cpd36880	1
cpd36508	1
cpd32951	1
cpd37078	1
cpd32907	1
cpd37290	1
cpd36628	1
cpd36568	1
cpd36815	1
cpd36351	1
cpd37242	1
cpd34314	1
cpd36126	1
cpd36694	1
cpd37113	1
cpd37186	1
cpd31460	1
cpd36296	1
cpd35971	1
cpd34091	1
cpd36443	1
cpd36347	1
cpd36454	1
cpd34664	1
cpd36429	1
cpd31745	1
cpd36643	1
cpd36385	1
cpd36122	1
cpd37098	1
cpd36951	1
cpd36496	1
cpd32262	1
cpd36087	1
cpd37124	1
cpd36289	1
cpd36806	1
cpd36574	1
cpd34419	1
cpd36327	1
cpd36078	1
cpd32123	1
cpd36900	1
cpd36709	1
cpd36372	1
cpd36232	1
cpd34717	1
cpd32462	1
cpd32885	1
cpd36520	1
cpd36174	1
cpd31659	1
cpd36323	1
cpd36792	1
cpd36857	1
cpd37125	1
cpd36984	1
cpd37266	1
cpd35792	1
cpd37228	1
