# cache=data/cache_win/compounds.sqlite params=data/cc_params_win.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
reaction_id	name	status	dg_prime_kJ_per_mol	uncertainty_kJ_per_mol	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol	formula
rxn00125	S-Adenosyl-L-methionine hydrolase	ok	90.843	100007.102	21.712	23902.271	seed:cpd00001 + seed:cpd00017 = seed:cpd00067 + seed:cpd00147 + seed:cpd00227
rxn00126	ATP:L-methionine S-adenosyltransferase	ok	-120.159	100005.509	-28.719	23901.890	seed:cpd00001 + seed:cpd00002 + seed:cpd00060 = seed:cpd00009 + seed:cpd00012 + seed:cpd00017 + seed:cpd00067
rxn00127	S-adenosyl-L-methionine carboxy-lyase [(5-deoxy-5-adenosyl)(3-aminopropyl)methylsulfonium-forming]	ok	-29.948	3.385	-7.158	0.809	seed:cpd00017 + seed:cpd00067 = seed:cpd00011 + seed:cpd00837
rxn00128	S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)	ok	19.268	100006.374	4.605	23902.097	seed:cpd00017 = seed:cpd00067 + seed:cpd00147 + seed:cpd00909
rxn00129	S-Adenosyl-L-methionine alkyltransferase (cyclizing)	ok	92.943	100005.953	22.214	23901.996	seed:cpd00017 = seed:cpd00147 + seed:cpd01873
rxn00130	AMP aminohydrolase	ok	-33.155	2.045	-7.924	0.489	seed:cpd00001 + seed:cpd00018 + seed:cpd00067 = seed:cpd00013 + seed:cpd00114
rxn00131	AMP phosphoribohydrolase	ok	-16.537	1.612	-3.952	0.385	seed:cpd00001 + seed:cpd00018 = seed:cpd00101 + seed:cpd00128
rxn00132	Adenosine 5'-monophosphate phosphohydrolase	ok	-14.310	1.510	-3.420	0.361	seed:cpd00001 + seed:cpd00018 = seed:cpd00009 + seed:cpd00182
rxn00133	P1,P4-bis(5'-adenosyl)-tetraphosphate adenylohydrolase	ok	-40.311	8.534	-9.635	2.040	seed:cpd00001 + seed:cpd00924 = seed:cpd00002 + seed:cpd00018 + seed:cpd00067
rxn00134	ATP:adenosine 5'-phosphotransferase	ok	-11.177	1.527	-2.671	0.365	seed:cpd00002 + seed:cpd00182 = seed:cpd00008 + seed:cpd00018 + seed:cpd00067
rxn00135	(S)-Lactate adenylohydrolase	undecomposable: 11921					seed:cpd00001 + seed:cpd02644 = seed:cpd00008 + seed:cpd00018 + seed:cpd00067
rxn00136	P1,P3-bis(5'-adenosyl)-triphosphate adenylohydrolase	undecomposable: 3193					seed:cpd00001 + seed:cpd03705 = seed:cpd00008 + seed:cpd00018 + seed:cpd00067
rxn00137	Adenosine 3',5'-bisphosphate 3'-phosphohydrolase	ok	-5.877	4.010	-1.405	0.958	seed:cpd00001 + seed:cpd00045 = seed:cpd00009 + seed:cpd00018
rxn00138	deamido-NAD+:ammonia ligase (AMP-forming)	ok	-15.067	3.087	-3.601	0.738	seed:cpd00002 + seed:cpd00013 + seed:cpd00638 = seed:cpd00003 + seed:cpd00012 + seed:cpd00018 + 2 seed:cpd00067
rxn00139	AMP:diphosphate phospho-D-ribosyltransferase	ok	17.108	1.426	4.089	0.341	seed:cpd00012 + seed:cpd00018 + seed:cpd00067 = seed:cpd00103 + seed:cpd00128
rxn00140	adenosine 3',5'-phosphate 5'-nucleotidohydrolase	ok	-42.080	1.202	-10.057	0.287	seed:cpd00001 + seed:cpd00446 = seed:cpd00018 + seed:cpd00067
