inchikey	dG0_prime_kcal	uncertainty_kcal	source_cpd	match_type
HKKHTABTHSUDBP-ILXILVFVSA-N	-178.40486606349987	0.6562814959797	cpd03199	connectivity
FBJQEBRMDXPWNX-YOFXRGKYSA-N	-228.7880821559912	0.9066997939175709	cpd03200	connectivity
SXZYCXMUPBBULW-LECHCGJUSA-N	-119.73741922849744	0.4780654950815478	cpd03202	connectivity
QXKAIJAYHKCRRA-PZGQECOJSA-M	-145.1260678629676	0.28858470166312306	cpd03204	connectivity
HHVQPBXBALLUDF-FJRVRIDVSA-N	205.81992079611317	56449.26929025617	cpd03240	connectivity
KAOLEMQCYWHOJQ-YCCSZJEMSA-M	-35.20245167278136	58924.99844589985	cpd03249	connectivity
JXCOSKURGJMQSG-BIGUCYEBSA-N	1.1244246871692483	56449.17299485668	cpd03262	connectivity
FFPUNPBUZDTHJI-SVKJGYKXSA-N	16.566614569683605	56449.1890899884	cpd03263	connectivity
MOIQRAOBRXUWGN-JIUSCHCVSA-N	76.66021989442729	56448.70720808076	cpd03266	connectivity
FUFLCEKSBBHCMO-UHFFFAOYSA-N	5.247819831150694	56448.62588933313	cpd03270	connectivity
LCZBQMKVFQNSJR-UJPCIWJBSA-N	16.675481336252197	56448.72371908792	cpd03271	connectivity
MCKLJFJEQRYRQT-HRQFAISJSA-N	251.94708655773007	56448.974632989404	cpd03274	connectivity
BAQMYDQNMFBZNA-ATWGWHJKSA-N	67.65430992218255	28224.733035424008	cpd03293	connectivity
YUGMCLJIWGEKCK-QMMMGPOBSA-N	-56.21273045924738	1.047757712654043	cpd03307	connectivity
RGHMISIYKIHAJW-SSDOTTSWSA-M	-117.9596783203416	1.0304567532389417	cpd03310	connectivity
VISAJVAPYPFKCL-QMMMGPOBSA-N	-33.01085124127227	1.1079325943246632	cpd03313	connectivity
CGQCWMIAEPEHNQ-MRVPVSSYSA-M	-94.75316173000869	1.0934586975950389	cpd03314	connectivity
