# eQuilibrator estimates as stored in ModelSEED before the 2026-08 regeneration
# units: kcal/mol   source key: thermodynamics['eQuilibrator']
# provenance: Scripts/Thermodynamics/Retrieve_eQuilibrator_Reactions_Energies.py (MetaNetX InChIKey ladder)
id	name	deltag_kcal_per_mol	deltagerr_kcal_per_mol	reversibility
cpd00384	Sisomicin	193.04	2.72	
cpd00385	Sulochrin	-91.76	3.39	
cpd00386	D-Malate	-164.76	1.01	
cpd00387	ADPglucose	-400.18	0.49	
cpd00388	Allantoate	-86.06	1.66	
cpd00389	Biliverdin	227.31	6.29	
cpd00390	CDP-glucose	-477.63	1.2	
cpd00392	Phycite	-55.97	0.29	
cpd00393	Folate	-9.45	16173.29	
cpd00394	Gentamicin	10000000.0	10000000.0	
cpd00395	L-Cysteate	-210.16	16901.11	
cpd00396	L-Rhamnose	-64.0	0.33	
cpd00398	Naringenin	-46.24	2.71	
cpd00399	Oleoyl-CoA	-104.9	2.69	
cpd00400	Acrylate	-35.54	0.39	
cpd00401	Benzoyl-CoA	-388.78	2.02	
cpd00402	CDPglycerol	-415.76	1.12	
cpd00403	D-Mannonate	-162.3	0.33	
cpd00404	D-Ornithine	37.36	0.73	
cpd00405	Hexadecanal	302.05	1.34	
cpd00406	Hypotaurine	56.36	23901.61	
cpd00407	Limonene	190.11	1.6	
cpd00408	Pantoate	-45.28	1.14	
cpd00409	Androsterone	76.75	56449.21	
cpd00411	D-Tryptophan	86.46	1.02	
cpd00412	Deoxyuridine	-19.24	1.05	
cpd00413	Glutaryl-CoA	-490.14	1.9	
cpd00414	Glycopeptide	82.0	3.22	
cpd00415	Quinol	-11.06	1.08	
cpd00416	Itaconyl-CoA	-490.78	2.01	
cpd00417	L-Lyxitol	-73.14	0.33	
cpd00418	NO	20.67	0.7	
cpd00419	PM	72.88	1.01	
cpd00420	Testosterone	65.32	56448.66	
cpd00421	Triphosphate	3.48	23900.57	
cpd00422	Cinnamoyl-CoA	-347.43	2.2	
cpd00424	Cystathionine	-20.67	0.97	
cpd00425	(CH3)2NH	73.51	1.13	
cpd00426	Homogentisate	-79.59	1.03	
cpd00427	L-Arabinonate	-145.13	0.29	
cpd00428	2-Oxopropanal	-22.85	0.42	
cpd00429	Arterenol	6.27	1.04	
cpd00430	PACT	33.73	0.74	
cpd00432	meso-Tartrate	-203.19	0.55	
cpd00433	(+)-Neomenthol	166.13	1.76	
cpd00434	4-Aminobutanal	62.74	0.39	
cpd00435	Phenylcarbinol	69.76	0.6	
cpd00436	Cyclopentanone	44.7	1.64	
cpd00437	D-Tagaturonate	-173.12	0.38	
cpd00438	Deoxyadenosine	119.7	0.73	
cpd00441	(CH3)3N	106.07	0.7	
cpd00443	ABEE	10.11	0.7	
cpd00444	CDPethanolamine	-344.98	1.27	
cpd00445	Cyclohexanamine	137.3	1.8	
cpd00446	cAMP	-83.89	0.38	
cpd00447	Betaine aldehyde	92.3	23902.51	
cpd00448	D-Glyceraldehyde	-45.93	0.32	
cpd00449	Dihydrolipoamide	139.3	1.75	
cpd00450	Methyl sulfide	60.25	1.37	
cpd00451	Glycocyamine	-6.0	1.59	
cpd00452	Phenylacetyl-CoA	-367.59	2.04	
cpd00453	1,2-Propanediol	-2.88	0.44	
cpd00454	Dinoprostone	170.25	2.11	
cpd00455	2-Deoxy-D-glucose	-61.02	0.35	
cpd00456	3-Hydroxybenzoate	-51.51	0.65	
cpd00457	Phosphocholine	-110.25	23902.54	
cpd00458	Coniferol	37.01	1.18	
cpd00460	Sulfoacetaldehyde	-185.44	16901.07	
cpd00461	Oxopent-4-enoate	-42.84	0.43	
cpd00463	Cholestenone	275.84	56448.99	
cpd00464	alpha-Tolualdehyde	80.71	0.64	
cpd00465	Ureidoglycolate	-113.68	0.88	
cpd00466	o-Phenanthroline	162.34	1.95	
cpd00467	3-Sulfinoalanine	-31.2	23901.58	
cpd00469	N-Acetyllactosamine	-127.81	0.76	
cpd00470	N1-Acetylspermidine	189.44	1.52	
cpd00471	Quercetin 3-sulfate	-327.33	29276.93	
cpd00472	UDPgalacturonate	-611.51	1.29	
cpd00473	3-Dehydro-L-gulonate	-173.02	0.3	
cpd00474	3-Oxo-delta4-steroid	106.25	56448.78	
cpd00475	Ribose 1-phosphate	-292.35	0.35	
cpd00477	N-Acetyl-L-glutamate	-107.21	0.76	
cpd00478	Pyridoxine phosphate	-192.03	0.9	
cpd00479	Gentisate	-100.78	1.03	
cpd00480	2-Dehydro-D-gluconate	-173.7	0.75	
cpd00481	Isobutyryl-CoA	-399.93	1.96	
cpd00482	2-Phospho-D-glycerate	-321.83	0.19	
cpd00483	3-Hydroxyanthranilate	-39.16	1.04	
cpd00484	p-Hydroxybenzaldehyde	9.86	0.68	
cpd00485	D-Mannose1-phosphate	-311.26	0.31	
cpd00486	Indoleacetaldehyde	111.14	1.03	
cpd00488	PGF2a	185.69	2.08	
cpd00489	4-Hydroxyphenylacetate	-30.32	0.65	
cpd00490	5-Hydroxy-L-tryptophan	37.18	1.2	
cpd00491	D-glucitol 6-phosphate	-302.93	0.43	
cpd00493	Pyridoxamine phosphate	-139.25	0.94	
cpd00495	4-Methylene-L-glutamate	-65.62	0.42	
cpd00496	D-Arabinono-1,4-lactone	-102.57	0.46	
cpd00497	XMP	-243.36	0.79	
cpd00498	2-Aceto-2-hydroxybutanoate	-59.41	0.41	
cpd00499	D-glucose-1,6-biphosphate	-526.44	0.75	
cpd00501	beta-D-Glucose 1-phosphate	-311.26	0.31	
cpd00502	5-Formiminotetrahydrofolate	44.48	15011.91	
cpd00503	D-Fructose 2,6-bisphosphate	-521.69	0.68	
cpd00504	LL-2,6-Diaminopimelate	-27.72	0.71	
cpd00506	gamma-Glutamylcysteine	-64.56	0.88	
cpd00507	Glycerophosphocholine	-51.0	29274.59	
cpd00508	3MOP	-20.08	0.39	
cpd00509	deoxyribose-1-phosphate	-252.93	0.54	
cpd00511	Androstanedione	61.31	56449.24	
cpd00515	5-Dehydro-4-deoxy-D-glucarate	-207.03	0.39	
cpd00516	meso-2,6-Diaminopimelate	-28.12	0.71	
cpd00517	1-Acyl-sn-glycerol 3-phosphate	72.37	1.58	
cpd00519	D-methylmalonyl-CoA	-509.0	2.07	
cpd00520	2-Dehydro-3-deoxy-D-pentonate	-117.49	0.23	
cpd00521	dTDP-4-oxo-6-deoxy-D-glucose	-452.84	1.46	
cpd00522	dTDP-4-oxo-L-rhamnose	-456.52	1.47	
cpd00523	Trehalose 6-phosphate	-377.49	0.51	
cpd00524	2-Inosose	-135.22	1.77	
cpd00525	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate	-571.91	2.02	
cpd00526	Cholate	47.85	56449.1	
cpd00527	Prostaglandin D2	170.25	2.11	
cpd00530	XTP	-659.11	0.98	
cpd00531	Hg2+	-0.98	23900.57	
cpd00533	dCDP	-377.82	1.12	
cpd00534	I-	-0.19	23900.57	
cpd00536	Oleate	281.65	1.43	
cpd00538	Pterin	9.53	16172.76	
cpd00540	BET	30.95	23902.51	
cpd00541	Lipoate	65.43	1.72	
cpd00543	Orcinol	8.51	1.04	
cpd00545	Ubenimex	120.37	0.95	
cpd00546	Cortisol	-20.63	56448.68	
cpd00547	Cysteine	-15.03	0.77	
cpd00548	D-Hexose	-101.55	0.27	
cpd00549	D-Lysine	59.74	0.9	
cpd00550	D-Serine	-56.8	0.67	
cpd00551	DTYL	-2.8	0.38	
cpd00552	F-	-0.19	23900.57	
cpd00553	Macrocin	283.17	23905.48	
cpd00554	Nicotine	188.64	2.19	
cpd00555	OT	465.09	99812.21	
cpd00556	Pyridine	85.12	0.83	
cpd00557	Siroheme	357.66	23900.57	
cpd00558	Spermine	291.05	2.52	
cpd00559	Supraene	638.76	3.51	
cpd00560	Tungsten	0.0	23900.57	
cpd00561	Vanillin	-15.99	1.11	
cpd00562	1-Octanol	142.32	0.7	
cpd00563	Berberine	68.38	23905.07	
cpd00564	Bergaptol	34.41	33804.68	
cpd00565	Coniferin	-34.89	1.83	
cpd00566	Cortisone	-36.08	56448.7	
cpd00567	D-Proline	8.12	2.05	
cpd00568	D-Sorbose	-102.35	0.43	
cpd00569	Digitonin	-240.51	84673.93	
cpd00570	Flavanone	101.74	1.6	
cpd00571	Glucarate	-234.67	0.41	
cpd00573	L-Idonate	-162.3	0.33	
cpd00575	Pepstatin	316.92	2.85	
cpd00576	Phloretin	-21.59	2.11	
cpd00577	Tretin M	283.13	2.53	
cpd00579	Serotonin	124.34	1.23	
cpd00580	Tropinone	22.4	28224.68	
cpd00581	Urocanate	27.83	0.97	
cpd00582	Vestitone	-23.07	2.42	
cpd00583	L-Adrenaline	33.05	1.47	
cpd00584	CDP-ribitol	-450.11	1.12	
cpd00585	Creatinine	62.6	0.7	
cpd00586	D-Arginine	79.99	1.4	
cpd00587	D-Cysteine	-15.03	0.77	
cpd00588	Sorbitol	-89.56	0.31	
cpd00589	D-Tagatose	-102.35	0.43	
cpd00590	Dicumarol	63.29	47807.16	
cpd00591	Ethylamine	67.92	0.41	
cpd00592	Formyl-CoA	-465.12	2.26	
cpd00593	Isoflavone	125.2	23902.33	
cpd00594	Gulonate	-162.3	0.33	
cpd00596	Oxalurate	-130.35	0.94	
cpd00597	Valerate	7.25	0.31	
cpd00599	SALC	-51.5	0.65	
cpd00601	D-Camphor	88.41	48388.48	
cpd00602	(-)-Camphor	88.41	48388.48	
cpd00604	4-Coumarate	-10.15	0.75	
cpd00606	Biochanin A	0.32	23903.15	
cpd00607	Citramalate	-141.2	0.36	
cpd00608	D-Altronate	-162.3	0.33	
cpd00609	D-Glucarate	10000000.0	10000000.0	
cpd00610	D-Glutamine	-26.3	0.66	
cpd00611	D-Threonine	-36.42	0.35	
cpd00612	Dopaquinone	-44.2	1.8	
cpd00613	Hexadecanol	312.29	1.34	
cpd00615	Bekanamycin	64.05	2.61	
cpd00616	Pretyrosine	-53.65	2.45	
cpd00617	Lactoyl-CoA	-460.03	1.88	
