# cache=data/modelseed_cache_msd/compounds.sqlite params=data/cc_params_msd.npz p_h=7.0 ionic_strength=0.25M p_mg=3.0 T=298.15K
compound_id	name	formula	status	dgf_prime_kJ_per_mol	uncertainty_kJ_per_mol	dgf_prime_kcal_per_mol	uncertainty_kcal_per_mol
cpd00233	Tetrahydrobiopterin	C9H15N5O3	ok	423.221	46301.047	101.152	11066.216
cpd00234	5-Dehydro-D-fructose	C6H10O6	ok	-469.875	1.691	-112.303	0.404
cpd00235	D-mannose-6-phosphate	C6H11O9P	ok	-1315.573	1.491	-314.429	0.356
cpd00236	D-Erythrose4-phosphate	C4H7O7P	ok	-1158.914	1.735	-276.987	0.415
cpd00237	Androstenedione	C19H26O2	ok	803.730	200027.630	192.096	47807.751
cpd00238	Sedoheptulose7-phosphate	C7H13O10P	ok	-1385.839	1.903	-331.223	0.455
cpd00239	H2S	HS	ok	51.500	2.933	12.309	0.701
cpd00240	EDTA	C10H12N2O8	ok	-701.174	100007.719	-167.585	23902.418
cpd00241	dGTP	C10H13N5O13P3	ok	-2349.380	46300.775	-561.515	11066.151
cpd00242	H2CO3	CHO3	ok	-547.537	1.247	-130.864	0.298
cpd00243	Fibrin	C5H12N3O2	compound not in cache				
cpd00244	Ni2+	Ni	undecomposable				
cpd00245	Aniline	C6H7N	ok	421.485	3.177	100.737	0.759
cpd00246	Inosine	C10H12N4O5	ok	78.325	1.591	18.720	0.380
cpd00247	Orotate	C5H3N2O4	ok	-459.840	5.251	-109.904	1.255
cpd00248	Quinate	C7H11O6	ok	-587.284	6.158	-140.364	1.472
cpd00249	Uridine	C9H12N2O6	ok	-241.957	3.681	-57.829	0.880
cpd00250	Creatine	C4H9N3O2	ok	107.501	2.933	25.693	0.701
cpd00251	ADPribose	C15H21N5O14P2	ok	-1603.861	3.297	-383.332	0.788
cpd00253	Glutamine	C5H10N2O3	ok	-110.848	2.691	-26.493	0.643
cpd00254	Mg	Mg	ok	-458.498	2.933	-109.584	0.701
cpd00255	Bradykinin	C50H75N15O11	ok	2188.724	27.781	523.118	6.640
cpd00256	CDPcholine	C14H25N4O11P2	ok	-1120.256	100008.077	-267.748	23902.504
cpd00257	Canavanine	C5H13N4O3	ok	-217.141	59769.360	-51.898	14285.220
cpd00258	D-Ribulose	C5H10O5	ok	-334.473	1.785	-79.941	0.427
cpd00259	D-Lyxulose	C5H10O5	ok	-338.740	2.367	-80.961	0.566
cpd00260	Isocitrate	C6H5O7	ok	-959.393	1.151	-229.300	0.275
cpd00261	L-Lyxulose	C5H10O5	ok	-339.221	2.686	-81.076	0.642
cpd00262	Oxalyl-CoA	C23H31N7O19P3S	ok	-2311.747	7.968	-552.521	1.904
cpd00263	Pyridoxol	C8H11NO3	ok	78.491	3.966	18.760	0.948
