seed_id	inchi_key	formula	reason	smiles
cpd03066	REAZZDPREXHWNV-FNYQTHNFSA-N	C32H48O10	creation failed	COC(CCC(C)C1O[C@]23CC(OC(=O)CC(C(C)O)OC(=O)C[C@@](O)(O2)[C@@H](C)CC3(C)C)[C@H]1C)c1cccc(O)c1
cpd03070	GJNIKYFIRAFAIY-UHFFFAOYSA-M	C10H7ClN3O5	creation failed	Nc1cnn(C(=O)C(=O)C=CCC(=O)[O-])c(=O)c1Cl
cpd03148	ATNHDLDRLWWWCB-AENOIHSZSA-M	C55H73MgN4O5	creation failed	C=Cc1c(C)/c2[n]3/c1=C\C1=N/C(=C\c4c(C)c5c([n]4[Mg]3)/C(=C3\N=C(/C=2)[C@@H](C)[C@@H]3CCC(=O)OC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)[C@@H](C(=O)OC)C5=O)C(CC)=C1C
cpd03149	NSMUHPMZFPKNMZ-IOBBVUIDSA-M	C55H71MgN4O6	creation failed	C=Cc1c(C)/c2[n]3/c1=C\C1=N/C(=C\c4c(C)c5c([n]4[Mg]3)/C(=C3\N=C(/C=2)[C@@H](C)[C@@H]3CCC(=O)OC/C=C(\C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C(C(=O)OC)C5=O)C(CC)=C1C=O
cpd03240	HHVQPBXBALLUDF-FJRVRIDVSA-N	C27H46O3	no pKas to build it	CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@H]4CC(=O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C
cpd03301	XZMSDBCWHWGUOR-ZETCQYMHSA-N	C9H15N3O2S	creation failed	C[N+](C)(C)[C@@H](CC1=NC(=S)NC1)C(=O)[O-]
cpd03302	QVHCOGWTKDLRAR-OWOJBTEDSA-M	C6H5N2O2S	creation failed	O=C([O-])/C=C/C1=NC(=S)NC1
cpd03402	JULROCUWKLNBSN-IMJSIDKUSA-N	C6H12N2O4Se2	creation failed	[NH3+][C@@H](C[Se][Se]C[C@H]([NH3+])C(=O)[O-])C(=O)[O-]
cpd03406	KGXZPWNBFWCDRF-YGVKFDHGSA-N	C5H11NO3Se	creation failed	C[Se](=O)CC[C@H]([NH3+])C(=O)[O-]
cpd03415	MOTVYDVWODTRDF-JRHDEHKPSA-F	C40H30N4O16	creation failed	O=C([O-])CCC1=C(CC(=O)[O-])c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(CC(=O)[O-])c5CCC(=O)[O-])c(CC(=O)[O-])c4CCC(=O)[O-])C(CC(=O)[O-])=C3CCC(=O)[O-]
cpd03417	VCCUOZSDXVZCSK-JRHDEHKPSA-J	C36H34N4O8	creation failed	CC1=C(CCC(=O)[O-])c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(CCC(=O)[O-])c5C)c(CCC(=O)[O-])c4C)C(CCC(=O)[O-])=C3C
cpd03418	UYRFVESWKZAVNF-UJJXFSCMSA-J	C36H34N4O8	creation failed	CC1=C(CCC(=O)[O-])c2cc3nc(cc4[nH]c(cc5[nH]c(cc1n2)c(CCC(=O)[O-])c5C)c(C)c4CCC(=O)[O-])C(CCC(=O)[O-])=C3C
cpd03422	JLHQWDQPSTZNHB-MQDJDTFKSA-L	C48H71CoN11O8	creation failed	CC1=C2[N]3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[N+]4=C(C(C)=C5[N]6[C@H]([C@H](CC(N)=O)[C@@]5(C)CCC(=O)NC[C@@H](C)O)[C@]5(C)[N+](=C1[C@@H](CCC(N)=O)[C@]5(C)CC(N)=O)[Co-3]364)[C@@H](CCC(N)=O)C2(C)C
