ID	GC	EQ
cpd20001	75.37|1.94	211.61|1.39
cpd20002	11.13|5.72	nan
cpd20003	-29.93|1.51	79.76|1.35
cpd20004	-80.26|1.22	0.51|0.99
cpd20005	10000000.0|10000000.0	106.27|79269.24
cpd20006	-141.64|3.74	66.65|5.11
cpd20007	10000000.0|10000000.0	nan
cpd20008	10000000.0|10000000.0	nan
cpd20009	-52.78|1.15	145.10|23900.57
cpd20010	10000000.0|10000000.0	nan
cpd20011	10000000.0|10000000.0	nan
cpd20012	-63.27|2.17	13.10|1.66
cpd20013	34.09|1.67	56.47|0.87
cpd20014	1.48|1.37	nan
cpd20015	-72.03|2.1	173.94|23900.57
cpd20016	-30.55|2.54	-46.03|15009.22
cpd20017	-22.06|1.61	191.90|2.00
cpd20018	10000000.0|10000000.0	nan
cpd20019	10000000.0|10000000.0	nan
cpd20020	10000000.0|10000000.0	nan
cpd20021	1.0|1.54	130.57|1.66
cpd20022	11.57|1.75	224.64|2.10
cpd20023	10000000.0|10000000.0	nan
cpd20024	10000000.0|10000000.0	nan
cpd20025	-40.0|2.42	43.82|2.16
cpd20026	-52.8|2.73	122.50|2.43
cpd20027	-0.8|0.5	nan
cpd20028	10000000.0|10000000.0	30.17|407713.24
cpd20029	-67.21|1.86	-44.90|0.41
cpd20030	33.95|2.42	21.88|36928.70
cpd20031	-3.89|3.82	157.61|14323.50
cpd20032	-58.78|2.33	nan
cpd20033	-54.41|1.32	164.76|23900.57
cpd20034	-96.94|3.42	47.22|14323.50
cpd20035	-121.71|0.81	nan
cpd20036	41.46|2.46	155.40|1.39
cpd20037	-75.16|1.74	-27.52|23900.57
cpd20038	10000000.0|10000000.0	nan
cpd20039	10000000.0|10000000.0	-65.09|37469.41
cpd20040	-207.26|3.9	-78.28|7504.61
cpd20041	-46.64|1.74	-33.00|0.56
cpd20042	-4.15|1.97	197.37|2.79
cpd20043	10000000.0|10000000.0	nan
cpd20044	12.28|1.66	107.33|1.85
cpd20045	-52.3|2.4	nan
cpd20046	26.35|2.26	126.30|16170.40
cpd20047	10000000.0|10000000.0	161.38|86174.74
cpd20048	10000000.0|10000000.0	361.27|4.04
cpd20049	28.7|1.71	nan
cpd20050	-84.66|2.49	24.94|1.82
cpd20051	-250.69|0.55	nan
cpd20052	10000000.0|10000000.0	nan
cpd20053	0.41|2.3	183.99|2.26
cpd20054	37.27|2.16	246.73|2.63
cpd20055	-16.48|2.14	92.50|2.34
cpd20056	-26.36|1.79	85.83|2.18
cpd20057	10000000.0|10000000.0	32.68|38371.14
cpd20058	-30.56|4.94	nan
cpd20059	10000000.0|10000000.0	nan
cpd20060	-632.7|3.63	-186.85|23390.18
cpd20061	-638.95|3.52	-172.48|23390.18
cpd20062	-59.84|1.93	89.45|2.10
cpd20063	72.58|2.01	nan
cpd20064	4.03|2.19	nan
cpd20065	69.92|3.82	102.28|14323.50
cpd20066	-51.37|2.29	7.81|2.44
cpd20067	-31.27|1.91	6.69|1.05
cpd20068	-106.56|3.68	258.86|33800.52
cpd20069	-92.63|0.93	-90.09|0.66
cpd20070	10000000.0|10000000.0	nan
cpd20071	53.42|2.4	27.21|36928.70
cpd20072	66.12|2.38	68.06|36928.70
cpd20073	22.87|2.08	nan
cpd20074	-12.07|2.06	156.36|23900.57
cpd20075	67.09|2.48	27.63|36928.70
cpd20076	85.25|2.98	nan
cpd20077	10000000.0|10000000.0	nan
cpd20078	-4.79|1.85	133.55|2.17
cpd20079	10000000.0|10000000.0	-0.84|37469.41
cpd20080	-116.3|1.21	-58.59|0.91
cpd20081	10000000.0|10000000.0	163.35|33800.52
cpd20082	10000000.0|10000000.0	nan
cpd20083	-539.63|8.88	84.42|7504.61
cpd20084	-497.06|7.75	27.59|7504.61
cpd20085	-414.65|6.58	11.24|7504.61
cpd20086	-259.27|6.0	-147.26|32834.59
cpd20087	10000000.0|10000000.0	130.76|119502.87
cpd20088	10000000.0|10000000.0	190.52|86174.74
cpd20089	19.83|1.56	124.60|16170.40
cpd20090	10000000.0|10000000.0	nan
cpd20091	-94.83|1.42	104.32|1.60
cpd20092	-17.11|2.35	nan
cpd20093	66.79|2.0	127.80|1.19
cpd20094	-4.03|1.7	122.02|23900.57
cpd20095	-860.61|3.58	nan
cpd20096	-109.21|2.67	nan
cpd20097	-129.33|2.93	-64.34|3.71
cpd20098	-134.69|3.2	-78.92|3.70
cpd20099	-117.28|4.0	-45.05|23900.57
cpd20100	-658.29|8.26	-43.43|25051.08
cpd20101	-108.01|3.17	-35.86|5.16
cpd20102	-106.39|3.17	-14.70|5.16
cpd20103	-106.58|3.18	6.99|5.18
cpd20104	-104.77|3.18	6.46|5.17
cpd20105	10000000.0|10000000.0	414.22|47801.15
cpd20106	10000000.0|10000000.0	240.56|28222.58
cpd20107	10000000.0|10000000.0	364.38|23900.57
cpd20108	10000000.0|10000000.0	323.05|23900.57
cpd20109	10000000.0|10000000.0	172.23|3.29
cpd20110	10000000.0|10000000.0	135.63|86174.74
cpd20111	10000000.0|10000000.0	nan
cpd20112	10000000.0|10000000.0	nan
cpd20113	10000000.0|10000000.0	nan
cpd20114	10000000.0|10000000.0	113.37|71701.72
cpd20115	10000000.0|10000000.0	-80.69|95602.29
cpd20116	10000000.0|10000000.0	-58.11|80901.75
cpd20117	-50.91|2.72	26.44|2.85
cpd20118	10000000.0|10000000.0	200.92|71701.72
cpd20119	10000000.0|10000000.0	-98.20|1.53
cpd20120	-29.09|4.99	nan
cpd20121	-23.0|2.07	4.66|2.34
cpd20122	10000000.0|10000000.0	-69.57|95602.29
cpd20123	-27.56|1.29	274.51|1.48
cpd20124	-21.8|1.1	192.27|1.23
cpd20125	-45.69|2.15	108.15|1.81
cpd20126	-53.49|2.2	148.97|1.94
cpd20127	-79.26|1.81	291.32|23900.57
cpd20128	10000000.0|10000000.0	nan
cpd20129	-2.72|2.51	184.04|2.05
cpd20130	-43.37|2.72	85.90|1.69
cpd20131	10000000.0|10000000.0	nan
cpd20132	10000000.0|10000000.0	nan
cpd20133	10000000.0|10000000.0	nan
cpd20134	10000000.0|10000000.0	52.02|23900.57
cpd20135	10000000.0|10000000.0	nan
cpd20136	10000000.0|10000000.0	-84.75|143403.44
cpd20137	10000000.0|10000000.0	-124.02|143403.44
cpd20138	10000000.0|10000000.0	nan
cpd20139	-15.97|6.26	nan
cpd20140	95.31|4.45	75.52|1.15
cpd20141	-93.42|2.75	158.85|1.78
cpd20142	10000000.0|10000000.0	68.22|75580.25
cpd20143	-6.57|1.35	172.48|0.89
cpd20144	10000000.0|10000000.0	-123.29|102682.79
cpd20145	10000000.0|10000000.0	203.69|86174.74
cpd20146	-66.45|1.49	219.93|33800.52
cpd20147	-27.66|4.14	72.85|14323.50
cpd20148	-49.72|1.11	168.29|23900.57
cpd20149	10000000.0|10000000.0	nan
cpd20150	10000000.0|10000000.0	nan
cpd20151	-79.95|4.16	-60.12|14323.50
cpd20152	-27.54|1.77	40.59|1.18
cpd20153	20.8|2.67	71.17|1.70
cpd20154	10000000.0|10000000.0	nan
cpd20155	10000000.0|10000000.0	219.86|50977.72
cpd20156	10000000.0|10000000.0	14.40|37469.41
cpd20157	8.87|1.57	233.52|2.03
cpd20158	10000000.0|10000000.0	17.05|23900.57
cpd20159	11.19|1.78	268.01|2.16
cpd20160	10000000.0|10000000.0	183.00|33800.52
cpd20161	10000000.0|10000000.0	-10.68|37469.41
cpd20162	10000000.0|10000000.0	-79.34|87449.07
cpd20163	10000000.0|10000000.0	nan
cpd20164	-51.54|1.84	113.49|1.41
cpd20165	10000000.0|10000000.0	nan
cpd20166	10000000.0|10000000.0	nan
cpd20167	10000000.0|10000000.0	94.64|36710.18
cpd20168	48.07|2.14	142.33|1.23
cpd20169	-5.35|2.0	69.93|1.50
cpd20170	-26.26|2.56	75.05|2.51
cpd20171	-372.08|0.47	-258.36|1.05
cpd20172	-28.25|2.36	172.68|23900.57
cpd20173	27.82|1.73	155.26|1.28
cpd20174	-9.46|1.73	125.19|1.99
cpd20175	-10.03|1.73	86.56|1.18
cpd20176	-68.07|1.53	76.62|1.11
cpd20177	-42.37|5.43	nan
cpd20178	10000000.0|10000000.0	nan
cpd20179	10000000.0|10000000.0	nan
cpd20180	10000000.0|10000000.0	84.07|71701.72
cpd20181	-94.13|1.84	85.13|23900.57
cpd20182	10000000.0|10000000.0	248.58|53443.31
cpd20183	10000000.0|10000000.0	nan
cpd20184	65.43|8.3	4.48|37308.02
cpd20185	10000000.0|10000000.0	nan
cpd20186	10000000.0|10000000.0	nan
cpd20187	10000000.0|10000000.0	nan
cpd20188	-72.55|1.79	92.03|23900.57
cpd20189	23.14|4.14	nan
cpd20190	129.72|3.92	321.14|14323.50
cpd20191	96.56|10.09	nan
cpd20192	61.57|2.45	184.63|1.67
cpd20193	-45.28|2.59	-83.08|95602.29
cpd20194	28.59|1.8	139.32|23900.57
cpd20195	67.64|2.61	58.72|16170.40
cpd20196	40.89|2.97	65.44|1.00
cpd20197	-40.83|6.52	-168.77|33260.63
cpd20198	10000000.0|10000000.0	nan
cpd20199	10000000.0|10000000.0	nan
cpd20200	-18.94|3.6	444.95|2.56
cpd20201	4.86|2.4	69.87|1.54
cpd20202	-51.61|2.4	139.67|28856.88
cpd20203	-23.7|1.67	169.29|23900.57
cpd20204	-123.99|4.76	66.86|1.18
cpd20205	10000000.0|10000000.0	nan
cpd20206	10000000.0|10000000.0	nan
cpd20207	14.59|2.07	309.49|23900.57
cpd20208	-61.7|2.6	230.27|23900.57
cpd20209	-54.77|1.6	294.24|23900.57
cpd20210	-59.77|1.58	150.52|23900.57
cpd20211	-104.18|1.5	97.26|23900.57
cpd20212	-35.29|1.95	225.61|23900.57
cpd20213	-111.13|2.2	121.22|23900.57
cpd20214	-41.29|5.92	nan
cpd20215	-76.52|1.39	243.07|23900.57
cpd20216	-52.98|1.36	207.60|23900.57
cpd20217	-56.04|1.55	184.41|23900.57
cpd20218	10000000.0|10000000.0	40.03|121869.49
cpd20219	-33.03|9.55	38.05|119502.87
cpd20220	-64.67|9.74	-85.24|120441.74
cpd20221	10000000.0|10000000.0	-87.14|125512.07
cpd20222	10000000.0|10000000.0	nan
cpd20223	10000000.0|10000000.0	nan
cpd20224	10000000.0|10000000.0	nan
cpd20225	10000000.0|10000000.0	nan
cpd20226	10000000.0|10000000.0	nan
cpd20227	10000000.0|10000000.0	63.87|23900.57
cpd20228	10000000.0|10000000.0	nan
cpd20229	10000000.0|10000000.0	nan
cpd20230	10000000.0|10000000.0	nan
cpd20231	10000000.0|10000000.0	nan
cpd20232	10000000.0|10000000.0	228.65|23900.57
cpd20233	10000000.0|10000000.0	nan
cpd20234	10000000.0|10000000.0	nan
cpd20235	10000000.0|10000000.0	nan
cpd20236	10000000.0|10000000.0	nan
cpd20237	10000000.0|10000000.0	nan
cpd20238	10000000.0|10000000.0	nan
cpd20239	10000000.0|10000000.0	nan
cpd20240	10000000.0|10000000.0	nan
cpd20241	10000000.0|10000000.0	nan
cpd20242	10000000.0|10000000.0	nan
cpd20243	10000000.0|10000000.0	nan
cpd20244	10000000.0|10000000.0	nan
cpd20245	10000000.0|10000000.0	nan
cpd20246	10000000.0|10000000.0	nan
cpd20247	10000000.0|10000000.0	nan
cpd20248	10000000.0|10000000.0	nan
cpd20249	10000000.0|10000000.0	nan
cpd20250	nan	nan
cpd20251	nan	nan
cpd20252	nan	nan
cpd20253	30.38|1.1	139.05|0.87
cpd20254	nan	nan
cpd20255	nan	nan
cpd20256	nan	nan
cpd20257	nan	nan
cpd20258	nan	nan
cpd20259	10000000.0|10000000.0	54.99|55329.47
cpd20260	10000000.0|10000000.0	nan
cpd20261	10000000.0|10000000.0	nan
cpd20262	10000000.0|10000000.0	nan
cpd20263	10000000.0|10000000.0	nan
cpd20264	10000000.0|10000000.0	nan
cpd20265	10000000.0|10000000.0	nan
cpd20266	10000000.0|10000000.0	nan
cpd20267	10000000.0|10000000.0	97.88|55329.47
cpd20268	10000000.0|10000000.0	nan
cpd20269	10000000.0|10000000.0	nan
cpd20270	10000000.0|10000000.0	nan
cpd20271	10000000.0|10000000.0	77.65|55329.47
cpd20272	10000000.0|10000000.0	nan
cpd20273	10000000.0|10000000.0	nan
cpd20274	10000000.0|10000000.0	nan
cpd20275	10000000.0|10000000.0	nan
cpd20276	10000000.0|10000000.0	nan
cpd20277	10000000.0|10000000.0	nan
cpd20278	10000000.0|10000000.0	nan
cpd20279	10000000.0|10000000.0	nan
cpd20280	10000000.0|10000000.0	nan
cpd20281	-90.55|2.5	nan
cpd20282	10000000.0|10000000.0	152.46|47801.15
cpd20283	14.45|1.92	135.43|0.92
cpd20284	10000000.0|10000000.0	nan
cpd20285	84.65|6.91	-13.40|28647.01
cpd20286	10000000.0|10000000.0	nan
cpd20287	-59.42|1.98	104.77|1.08
cpd20288	10000000.0|10000000.0	nan
cpd20289	10000000.0|10000000.0	85.31|71701.72
cpd20290	10000000.0|10000000.0	nan
cpd20291	10000000.0|10000000.0	137.55|23900.57
cpd20292	52.45|2.79	111.23|1.22
cpd20293	10000000.0|10000000.0	nan
cpd20294	-16.93|0.87	39.34|0.71
cpd20295	10000000.0|10000000.0	nan
cpd20296	10000000.0|10000000.0	nan
cpd20297	75.47|3.57	182.04|15792.83
cpd20298	10000000.0|10000000.0	nan
cpd20299	31.18|9.99	nan
cpd20300	10000000.0|10000000.0	nan
cpd20301	10000000.0|10000000.0	-6.80|151598.97
cpd20302	78.39|5.42	nan
cpd20303	14.2|1.54	117.67|1.79
cpd20304	-41.35|2.34	120.68|1.84
cpd20305	5.19|1.86	224.93|2.10
cpd20306	7.97|1.63	94.88|0.70
cpd20307	-56.86|1.57	119.92|2.02
cpd20308	-61.32|2.2	-26.96|23900.57
cpd20309	16.2|2.25	75.54|1.66
cpd20310	-22.22|1.79	184.13|1.98
cpd20311	-72.51|1.8	138.16|1.95
cpd20312	-84.66|2.49	24.94|1.82
cpd20313	-6.55|1.24	174.73|1.23
cpd20314	10000000.0|10000000.0	nan
cpd20315	10000000.0|10000000.0	nan
cpd20316	-59.71|1.59	-18.34|0.65
cpd20317	-92.04|2.11	-70.83|0.96
cpd20318	8.25|2.11	nan
cpd20319	21.88|4.82	nan
cpd20320	50.87|5.42	nan
cpd20321	-83.33|2.33	304.23|47801.15
cpd20322	-59.95|1.57	96.96|23900.57
cpd20323	10000000.0|10000000.0	268.65|47801.15
cpd20324	10000000.0|10000000.0	225.80|53443.31
cpd20325	10000000.0|10000000.0	192.33|86174.74
cpd20326	10000000.0|10000000.0	47.58|23900.57
cpd20327	-23.3|5.01	nan
cpd20328	10000000.0|10000000.0	110.83|47801.15
cpd20329	10000000.0|10000000.0	nan
cpd20330	-68.21|1.94	8.82|1.93
cpd20331	-155.08|1.57	-164.83|16900.26
cpd20332	-88.71|2.16	-12.77|1.56
cpd20333	-19.53|2.45	94.38|3.51
cpd20334	104.22|5.56	nan
cpd20335	7.26|2.31	141.86|2.41
cpd20336	-12.21|2.39	130.18|2.83
cpd20337	-56.79|2.49	128.13|2.16
cpd20338	nan	nan
cpd20339	-75.68|1.31	81.28|1.19
cpd20340	nan	nan
cpd20341	6.16|3.73	117.17|25051.08
cpd20342	-41.34|1.13	123.15|1.74
cpd20343	-34.78|1.08	107.62|1.77
cpd20344	-75.68|1.31	81.28|1.19
cpd20345	nan	nan
cpd20346	10000000.0|10000000.0	nan
cpd20347	-3.16|1.74	113.89|2.11
cpd20348	-61.27|2.51	113.89|2.11
cpd20349	10000000.0|10000000.0	113.37|71701.72
cpd20350	8.95|3.1	132.87|3.19
cpd20351	10000000.0|10000000.0	-92.89|2.54
cpd20352	10000000.0|10000000.0	nan
cpd20353	10000000.0|10000000.0	nan
cpd20354	-10.81|1.84	165.86|23900.57
cpd20355	-26.92|1.55	128.42|1.95
cpd20356	10000000.0|10000000.0	nan
cpd20357	-22.06|1.61	191.90|2.00
cpd20358	35.56|2.38	-0.04|36928.70
cpd20359	10000000.0|10000000.0	nan
cpd20360	66.11|2.35	24.84|36928.70
cpd20361	68.96|2.5	89.01|36928.70
cpd20362	-24.23|2.35	-125.20|36928.70
cpd20363	66.9|2.5	49.25|36928.70
cpd20364	47.77|2.4	60.47|36928.70
cpd20365	-24.42|2.36	-103.86|36928.70
cpd20366	37.18|2.39	21.13|36928.70
cpd20367	34.39|3.73	nan
cpd20368	10000000.0|10000000.0	71.92|1.44
cpd20369	-2.3|2.27	209.67|3.10
cpd20370	10000000.0|10000000.0	31.95|38371.14
cpd20371	10000000.0|10000000.0	31.95|38371.14
cpd20372	-24.95|2.22	nan
cpd20373	11.54|4.93	nan
cpd20374	-64.04|1.84	-23.74|0.41
cpd20375	-56.21|1.21	48.44|0.77
cpd20376	50.24|1.79	nan
cpd20377	55.53|10.41	nan
cpd20378	10000000.0|10000000.0	nan
cpd20379	10000000.0|10000000.0	90.44|47801.15
cpd20380	10000000.0|10000000.0	nan
cpd20381	-51.91|2.3	12.71|23900.57
cpd20382	-47.46|1.86	-42.87|1.29
cpd20383	-66.35|2.15	74.52|23900.57
cpd20384	3.61|1.99	146.35|1.68
cpd20385	10000000.0|10000000.0	4.51|23900.57
cpd20386	10000000.0|10000000.0	nan
cpd20387	10000000.0|10000000.0	nan
cpd20388	-189.07|1.49	-120.02|1.63
cpd20389	-56.4|1.82	313.89|23900.57
cpd20390	1.12|2.48	64.83|1.17
cpd20391	10000000.0|10000000.0	nan
cpd20392	-472.74|1.49	-20.16|53443.31
cpd20393	10000000.0|10000000.0	nan
cpd20394	122.33|8.98	nan
cpd20395	54.4|2.04	nan
cpd20396	10000000.0|10000000.0	nan
cpd20397	10000000.0|10000000.0	nan
cpd20398	56.02|2.07	149.02|2.01
cpd20399	10000000.0|10000000.0	92.79|37523.05
cpd20400	10000000.0|10000000.0	nan
cpd20401	-57.43|1.63	91.01|23900.57
cpd20402	-120.68|1.39	59.20|1.36
cpd20403	-144.94|1.12	75.44|1.06
cpd20404	100.14|2.77	321.02|3.90
cpd20405	-170.45|3.29	54.64|3.05
cpd20406	-121.66|2.83	30.66|1.89
cpd20407	10000000.0|10000000.0	nan
cpd20408	10000000.0|10000000.0	nan
cpd20409	-166.42|2.05	-119.56|1.55
cpd20410	10000000.0|10000000.0	nan
cpd20411	-746.4|3.63	-361.58|16900.26
cpd20412	-532.44|2.95	-260.35|16900.26
cpd20413	-425.46|2.82	-210.36|16900.26
cpd20414	-335.67|0.27	-284.17|0.32
cpd20415	10000000.0|10000000.0	nan
cpd20416	-43.36|1.06	-8.98|0.90
cpd20417	10000000.0|10000000.0	nan
cpd20418	-36.93|0.65	8.07|0.58
cpd20419	10000000.0|10000000.0	nan
cpd20420	10000000.0|10000000.0	nan
cpd20421	nan	nan
cpd20422	-8.15|1.26	68.62|1.25
cpd20423	19.6|1.12	79.69|0.87
cpd20424	22.07|1.21	73.06|0.87
cpd20425	21.52|0.92	90.03|0.72
cpd20426	-5.73|0.93	nan
cpd20427	26.65|1.17	105.15|0.67
cpd20428	10000000.0|10000000.0	nan
cpd20429	10000000.0|10000000.0	nan
cpd20430	nan	nan
cpd20431	10000000.0|10000000.0	178.58|71701.72
cpd20432	10000000.0|10000000.0	246.18|47801.15
cpd20433	-18.68|1.25	nan
cpd20434	13.7|1.05	89.85|1.40
cpd20435	10000000.0|10000000.0	nan
cpd20436	10000000.0|10000000.0	nan
cpd20437	nan	nan
cpd20438	99.15|3.04	138.82|16170.40
cpd20439	10000000.0|10000000.0	nan
cpd20440	10000000.0|10000000.0	nan
cpd20441	nan	nan
cpd20442	10000000.0|10000000.0	40.90|23900.57
cpd20443	10000000.0|10000000.0	40.90|23900.57
cpd20444	103.77|2.57	167.43|2.04
cpd20445	99.46|6.52	48.66|28647.01
cpd20446	96.2|6.6	87.97|28647.01
cpd20447	10000000.0|10000000.0	nan
cpd20448	-386.86|4.8	653.20|3.91
cpd20449	8.81|1.0	73.81|1.12
cpd20450	nan	nan
cpd20451	83.96|3.5	312.06|11521.82
cpd20452	10000000.0|10000000.0	nan
cpd20453	10000000.0|10000000.0	218.26|23900.57
cpd20454	10000000.0|10000000.0	209.61|23900.57
cpd20455	62.69|5.88	206.50|3.86
cpd20456	10000000.0|10000000.0	nan
cpd20457	10000000.0|10000000.0	19.32|47801.15
cpd20458	nan	nan
cpd20459	-66.63|0.86	-7.06|0.75
cpd20460	nan	nan
cpd20461	nan	nan
cpd20462	-179.07|9.5	-146.74|119502.87
cpd20463	-105.19|1.45	-86.50|23900.57
cpd20464	11.0|0.79	80.30|0.66
cpd20465	32.34|1.3	97.81|1.20
cpd20466	30.04|0.98	82.35|23900.57
cpd20467	10000000.0|10000000.0	nan
cpd20468	132.6|5.46	285.64|11521.82
cpd20469	13.22|3.87	65.36|4.31
cpd20470	10000000.0|10000000.0	-81.17|23900.57
cpd20471	-392.97|14.54	-759.60|88614.35
cpd20472	16.07|6.94	-25.06|28647.01
cpd20473	10000000.0|10000000.0	nan
cpd20474	7.18|1.18	93.46|1.14
cpd20475	-4.46|2.14	149.84|1.60
cpd20476	12.87|1.3	86.09|1.48
cpd20477	96.82|4.8	243.83|4.81
cpd20478	96.82|4.8	243.80|4.81
cpd20479	90.37|4.79	236.85|4.83
cpd20480	10000000.0|10000000.0	246.18|47801.15
cpd20481	10000000.0|10000000.0	246.18|47801.15
cpd20482	10000000.0|10000000.0	13.67|47801.15
cpd20483	60.6|2.32	157.12|1.30
cpd20484	37.4|2.36	111.53|1.51
cpd20485	16.94|1.07	132.12|1.40
cpd20486	-37.9|3.85	30.79|2.12
cpd20487	-35.15|2.26	54.10|1.10
cpd20488	10000000.0|10000000.0	nan
cpd20489	21.66|2.32	133.75|2.20
cpd20490	10000000.0|10000000.0	nan
cpd20491	19.14|1.21	nan
cpd20492	10000000.0|10000000.0	143.13|53443.31
cpd20493	10000000.0|10000000.0	143.13|53443.31
cpd20494	16.36|3.29	117.43|4.69
cpd20495	-16.21|1.84	50.79|0.94
cpd20496	-59.21|0.64	21.60|0.63
cpd20497	10000000.0|10000000.0	nan
cpd20498	10000000.0|10000000.0	nan
cpd20499	-554.87|2.27	6.71|2.02
cpd20500	-516.83|2.2	45.06|2.08
cpd20501	-139.03|4.68	116.41|25051.08
cpd20502	129.08|3.67	174.23|23900.57
cpd20503	129.49|3.75	154.58|23900.57
cpd20504	-44.58|1.84	-18.14|0.94
cpd20505	10000000.0|10000000.0	140.43|23900.57
cpd20506	-13.3|2.14	-11.85|0.71
cpd20507	10.78|1.1	88.06|0.71
cpd20508	10000000.0|10000000.0	nan
cpd20509	10000000.0|10000000.0	209.61|71701.72
cpd20510	130.97|5.51	305.29|11521.82
cpd20511	103.36|2.6	187.09|2.12
cpd20512	97.52|3.05	158.47|16170.40
cpd20513	94.25|3.24	144.04|16170.40
cpd20514	-41.55|1.79	125.08|2.02
cpd20515	24.95|1.68	71.75|2.12
cpd20516	10000000.0|10000000.0	nan
cpd20517	61.06|5.85	226.15|3.92
cpd20518	69.68|2.18	246.07|1.65
cpd20519	33.57|1.4	nan
cpd20520	33.57|1.4	107.10|1.20
cpd20521	-32.65|0.41	89.18|0.52
cpd20522	10000000.0|10000000.0	74.44|23900.57
cpd20523	10000000.0|10000000.0	nan
cpd20524	69.94|2.92	254.73|3.73
cpd20525	10000000.0|10000000.0	155.77|43804.97
cpd20526	10000000.0|10000000.0	80.85|33800.52
cpd20527	10000000.0|10000000.0	129.49|33800.52
cpd20528	10000000.0|10000000.0	48.10|23900.57
cpd20529	10000000.0|10000000.0	193.10|23900.57
cpd20530	10000000.0|10000000.0	41.54|36710.18
cpd20531	10000000.0|10000000.0	72.82|41397.01
cpd20532	10000000.0|10000000.0	nan
cpd20533	10000000.0|10000000.0	nan
cpd20534	10000000.0|10000000.0	153.41|53443.31
cpd20535	10000000.0|10000000.0	nan
cpd20536	10000000.0|10000000.0	nan
cpd20537	10000000.0|10000000.0	nan
cpd20538	10000000.0|10000000.0	nan
cpd20539	10000000.0|10000000.0	nan
cpd20540	10000000.0|10000000.0	nan
cpd20541	10000000.0|10000000.0	nan
cpd20542	10000000.0|10000000.0	nan
cpd20543	10000000.0|10000000.0	nan
cpd20544	10000000.0|10000000.0	nan
cpd20545	64.1|6.86	137.36|14323.50
cpd20546	nan	nan
cpd20547	10000000.0|10000000.0	nan
cpd20548	122.32|6.61	70.49|28647.01
cpd20549	-4.16|2.03	59.11|1.20
cpd20550	nan	nan
cpd20551	-182.62|7.26	-214.17|36710.18
cpd20552	-180.99|7.17	nan
cpd20553	10000000.0|10000000.0	nan
cpd20554	10000000.0|10000000.0	nan
cpd20555	-64.64|0.93	-27.29|0.91
cpd20556	23.72|1.59	111.73|1.13
cpd20557	10000000.0|10000000.0	3.68|95602.29
cpd20558	10000000.0|10000000.0	-14.29|95602.29
cpd20559	10000000.0|10000000.0	nan
cpd20560	10000000.0|10000000.0	nan
cpd20561	80.09|1.96	192.83|1.69
cpd20562	5.92|3.2	nan
cpd20563	-0.98|1.91	106.73|2.07
cpd20564	103.15|2.85	206.74|2.27
cpd20565	-346.57|14.52	-668.43|88614.35
cpd20566	nan	nan
cpd20567	-59.28|0.59	nan
cpd20568	54.65|1.36	154.95|1.89
cpd20569	-16.8|4.07	-13.19|15009.22
cpd20570	10000000.0|10000000.0	142.89|23900.57
cpd20571	nan	nan
cpd20572	10000000.0|10000000.0	182.58|71701.72
cpd20573	115.64|3.7	298.04|4.03
cpd20574	9.59|0.63	56.90|0.55
cpd20575	10000000.0|10000000.0	nan
cpd20576	-54.61|0.66	85.61|0.75
cpd20577	10000000.0|10000000.0	155.20|23900.57
cpd20578	2.55|2.9	100.15|3.65
cpd20579	10000000.0|10000000.0	36.95|23900.57
cpd20580	10000000.0|10000000.0	37.09|23900.57
cpd20581	10000000.0|10000000.0	36.69|23900.57
cpd20582	10000000.0|10000000.0	50.07|33800.52
cpd20583	-73.15|0.91	149.67|0.84
cpd20584	8.81|1.0	73.80|1.12
cpd20585	10000000.0|10000000.0	206.50|95602.29
cpd20586	nan	nan
cpd20587	10000000.0|10000000.0	nan
cpd20588	nan	nan
cpd20589	4.6|1.76	73.60|1.46
cpd20590	-27.5|4.29	95.05|3.27
cpd20591	95.4|6.51	36.35|28647.01
cpd20592	10000000.0|10000000.0	196.48|47801.15
cpd20593	10000000.0|10000000.0	218.26|23900.57
cpd20594	87.01|3.45	204.09|3.51
cpd20595	87.01|3.45	204.13|3.51
cpd20596	72.5|7.73	246.18|5.15
cpd20597	72.5|7.73	nan
cpd20598	10000000.0|10000000.0	209.61|23900.57
cpd20599	10000000.0|10000000.0	169.93|71701.72
cpd20600	83.19|3.49	196.48|4.08
cpd20601	83.19|3.49	196.48|4.08
cpd20602	26.08|8.24	-47.41|55727.92
cpd20603	-90.5|1.83	13.96|1.50
cpd20604	10000000.0|10000000.0	nan
cpd20605	-63.32|1.31	5.28|1.11
cpd20606	-29.7|1.56	78.83|1.32
cpd20607	-34.8|4.9	-105.85|30018.44
cpd20608	10000000.0|10000000.0	nan
cpd20609	10000000.0|10000000.0	nan
cpd20610	10000000.0|10000000.0	nan
cpd20611	-60.25|0.62	72.35|0.54
cpd20612	-65.48|0.7	93.83|1.19
cpd20613	-120.78|3.01	67.21|33800.52
cpd20614	-167.92|7.8	-318.78|44307.18
cpd20615	10000000.0|10000000.0	nan
cpd20616	-0.58|4.95	nan
cpd20617	10000000.0|10000000.0	-4.97|47801.15
cpd20618	10000000.0|10000000.0	3.08|23900.57
cpd20619	8.84|0.71	77.59|0.51
cpd20620	10000000.0|10000000.0	59.79|23900.57
cpd20621	32.34|1.3	97.81|1.20
cpd20622	26.65|1.17	105.15|0.67
cpd20623	10000000.0|10000000.0	1.72|71701.72
cpd20624	10000000.0|10000000.0	nan
cpd20625	103.52|6.58	60.97|28647.01
