ID	GF	EQ
cpd00595	10000000.0|10000000.0	nan
cpd00596	-153.5|1.02	-129.22|0.87
cpd00597	-81.89|0.31	7.33|0.31
cpd00598	19.2|5.28	nan
cpd00599	-92.53|0.89	-51.03|0.62
cpd00601	-36.69|6.17	86.00|48386.66
cpd00602	-36.69|6.17	86.00|48386.66
cpd00604	-71.75|1.1	-9.81|0.72
cpd00605	-103.36|1.56	-80.42|2.68
cpd00606	-84.69|2.52	1.70|23900.57
cpd00607	-202.61|0.42	-141.71|0.35
cpd00608	-268.66|0.89	-162.21|0.33
cpd00609	nan	nan
cpd00610	-121.69|0.61	-26.37|0.65
cpd00611	-124.34|0.41	-36.12|0.33
cpd00612	-111.23|1.33	-41.77|1.57
cpd00613	-20.85|1.33	311.68|1.32
cpd00614	10000000.0|10000000.0	nan
cpd00615	-320.83|4.01	67.86|2.16
