rxn_id	kegg_rxn_id	dG_mean_kcal_per_mol	dG_uncer_kcal_per_mol	operator
rxn00634	R00871; R00875; R01201; R01206; R01207; R01408; R01410; R01811; R01966; R07779; R08511	-12.26	0.25	>
rxn00635	R00876	-3.43	0.02	=
rxn00636	R00877	-0.78	0.03	=
rxn00638	R00880	0.45	0.25	=
rxn00639	R00881	-7.3	0.03	>
rxn00640	R00883	1.51	0.03	=
rxn00641	R00885	-1.07	0.03	=
rxn00642	R00888	-9.64	0.24	>
rxn00643	R00889	0.42	0.03	=
rxn00644	R00892	-0.99	0.06	=
rxn00645	R00893	-56.97	0.41	>
rxn00646	R00894	-8.73	0.45	>
rxn00647	R00895	-3.57	0.25	=
rxn00649	R00897	-12.06	0.05	>
rxn00650	R00899	1.32	0.32	=
rxn00651	R00901	49.29	0.5	<
rxn00652	R00903	-3.16	0.26	=
rxn00653	R00904	-5.47	0.23	=
rxn00654	R00905	-5.11	0.29	>
rxn00655	R00906	10.29	0.34	=
rxn00656	R00907	0.94	0.03	=
rxn00657	R00908	-0.78	0.03	=
rxn00658	R00909	-5.67	0.31	>
rxn00659	R00910	-5.14	0.41	>
rxn00660	R00911	-1.26	0.41	=
rxn00661	R00912	-5.12	0.41	>
rxn00662	R00913	-6.39	0.29	>
rxn00663		-6.39	0.29	=
rxn00668	R00919	10.6	0.45	<
rxn00669	R00920	3.43	0.03	=
rxn00670	R00921	4.84	0.18	=
rxn00671	R00922	-9.18	0.22	=
rxn00672	R00923	-4.61	0.13	>
rxn00673	R00924	6.76	0.45	=
rxn00674	R00925	1.5	0.03	=
rxn00675	R00926	-17.51	0.29	>
rxn00676	R00927	2.61	0.18	=
rxn00677	R00928	2.58	0.03	=
rxn00678	R00930	-0.58	0.13	=
rxn00679	R00931	10.44	0.19	<
rxn00680	R00932	10.43	0.22	<
rxn00681		10.43	0.22	<
rxn00682	R00934	-4.44	0.27	=
rxn00684	R00936	7.11	0.03	=
rxn00685		7.11	0.03	=
rxn00686	R00939	6.53	0.03	=
rxn00687		6.53	0.03	=
rxn00688	R00941	-8.53	0.04	>
rxn00689	R00942	-13.52	0.83	>
